place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,William Mazzini,0:50:02,15,1:05:02,20,-,1,-,M,-,15
2,Wilford King,0:51:08,0,0:51:08,1,-,2,-,M,-,0
3,Walter Van Zant Jr,0:51:46,8,0:59:46,11,-,3,-,M,-,8
4,Robert Marinini,0:52:11,12,1:04:11,19,-,4,-,M,-,12
5,Henry Stroughter,0:52:59,7,0:59:59,12,-,5,-,M,-,7
6,Ralph Love,0:53:07,0,0:53:07,2,-,6,-,M,-,0
7,Wes Hildreth,0:53:21,8,1:01:21,14,-,7,-,M,-,8
8,Harold Kuha,0:53:22,0,0:53:22,3,-,8,-,M,-,0
9,Darryl Beardall,0:54:11,2,0:56:11,6,-,9,-,M,-,2
10,Len Thornton,0:55:33,0,0:55:33,4,-,10,-,M,-,0
11,Charles A Richesin,0:55:47,0,0:55:47,5,-,11,26,M,-,0
12,Pete Reider,0:56:17,3,0:59:17,9,-,12,-,M,-,3
13,Richard Ellis,0:56:25,3,0:59:25,10,-,13,-,M,-,3
14,Jack G Kirk,0:56:37,4,1:00:37,13,-,14,49,M,-,4
15,C Curtis,0:57:51,4,1:01:51,15,-,15,-,M,-,4
16,W Berger,0:57:55,0,0:57:55,7,-,16,-,M,-,0
17,P Incardona,0:58:05,13,1:11:05,27,-,17,-,M,-,13
18,R Underwood,0:58:07,5,1:03:07,17,-,18,-,M,-,5
19,G Woods,0:59:00,0,0:59:00,8,-,19,-,M,-,0
20,D Kidder,1:00:12,3,1:03:12,18,-,20,-,M,-,3
21,D Marquette,0:59:15,6,1:05:15,21,-,21,-,M,-,6
22,A Duff,0:59:16,15,1:14:16,29,-,22,-,M,-,15
23,M Durrie,0:59:17,7,1:06:17,22,-,23,-,M,-,7
24,M Todd,1:00:04,3,1:03:04,16,-,24,-,M,-,3
25,W Ranney,1:01:13,6,1:07:13,24,-,25,-,M,-,6
26,Jack Lindner,1:01:39,15,1:16:39,31,-,26,-,M,-,15
27,R Terry,1:05:29,7,1:12:29,28,-,27,-,M,-,7
28,J  Marden,1:05:44,1,1:06:44,23,-,28,-,M,-,1
29,P Van Noy,1:05:55,12,1:17:55,32,-,29,-,M,-,12
30,W Cameron,1:05:56,5,1:10:56,26,-,30,-,M,-,5
31,J Imperiale,1:05:58,13,1:18:58,33,-,31,-,M,-,13
32,Dave Town,1:08:09,2,1:10:09,25,-,32,-,M,-,2
33,T Keeley,1:09:52,15,1:24:52,34,-,33,-,M,-,15
34,W Taylor,1:10:15,15,1:25:15,35,-,34,-,M,-,15
35,D Bronson,1:11:37,3,1:14:37,30,-,35,-,M,-,3
36,J Tominga,1:18:54,13,1:31:54,37,-,36,-,M,-,13
37,G Wolf,1:21:11,9,1:30:11,36,-,37,-,M,-,9
38,S Lucia,1:22:09,15,1:37:09,38,-,38,-,M,-,15
39,J Fulton,-,6,-,-,-,39,-,M,-,6
40,J Haven,-,9,-,-,-,40,-,M,-,9
