place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Don Chaffee,0:45:40,6,0:51:40,6,Invitational,1,-,M,-,6
2,Russ Kiernan,0:45:43,6,0:51:43,7,Invitational,2,-,M,-,6
3,Don S Pickett,0:47:22,0,0:57:22,45,Invitational,3,51,M,-,0
4,Margaret Livingston,0:47:25,14,1:01:25,121,Invitational,4,-,F,-,14
5,Bob J Malain,0:47:28,10,0:57:28,47,Invitational,5,52,M,-,10
6,Trex Donovan,0:47:34,4,0:51:34,5,Invitational,6,-,M,-,4
7,Joseph Ryan,0:47:34,2,0:49:34,1,Invitational,7,-,M,-,2
8,Jim Nicholson,0:47:36,8,0:55:36,24,Invitational,8,-,M,-,8
9,Pam Purcell,0:48:43,16,1:04:43,214,Invitational,9,-,F,-,16
10,Bert C Johnson,0:48:58,4,0:52:58,10,Invitational,10,36,M,-,4
11,Bruce Degen,0:49:03,4,0:53:03,12,Invitational,11,-,M,-,4
12,Betsy White,0:49:51,16,1:05:51,247,Invitational,12,-,F,-,16
13,Roger Daniels,0:49:58,6,0:55:58,27,Invitational,13,-,M,-,6
14,Unofficial,-,,-,-,-,-,-,,-,-
15,Barbara Magid,0:50:09,16,1:06:09,267,Invitational,14,-,F,-,16
16,Peter Demarais,0:50:12,0,0:50:12,2,Invitational,15,-,M,-,0
17,Mike Arago,0:50:21,0,0:50:21,3,Invitational,16,-,M,-,0
18,Chuck Stagliano,0:50:22,4,0:54:22,18,Invitational,17,-,M,-,4
19,Bob Lawrence,0:50:24,4,0:54:24,19,Invitational,18,-,M,-,4
20,Ralph Paffenbarger,0:50:36,12,1:02:36,157,Invitational,19,-,M,-,12
21,Hans Roenau,0:50:50,10,1:00:50,97,Invitational,20,-,M,-,10
22,Bruce Botta,0:51:00,6,0:57:00,39,Invitational,21,-,M,-,6
23,Bill Brace,0:51:04,10,1:01:04,109,Invitational,22,-,M,-,10
24,Steve Ottaway,0:51:08,0,0:51:08,4,Invitational,23,-,M,-,0
25,Herb Vanek,0:51:15,10,1:01:15,115,Invitational,24,-,M,-,10
26,Orin Dahl,0:51:16,6,0:57:16,42,Invitational,25,-,M,-,6
27,Bruce Carradine,0:51:21,8,0:59:21,70,Invitational,26,-,M,-,8
28,Dana Hooper,0:51:26,12,1:03:26,177,Invitational,27,-,F,-,12
29,Dane Larsen,0:51:29,1,0:52:29,9,Invitational,28,-,M,-,1
30,Susan Mitchell,0:51:31,16,1:07:31,317,Invitational,29,-,F,-,16
31,Darryl Beardall,0:51:45,6,0:57:45,50,Invitational,30,-,M,-,6
32,James Clever,0:51:55,6,0:57:55,52,Invitational,31,-,M,-,6
33,John Cobourn,0:52:03,2,0:54:03,16,Invitational,32,-,M,-,2
34,Louise Burns,0:52:09,16,1:08:09,341,Invitational,33,-,F,-,16
35,L Sampson,0:52:12,4,0:56:12,28,Invitational,34,-,M,-,4
36,Peter Eisenberg,0:52:17,2,0:54:17,17,Invitational,35,-,M,-,2
37,Robert (Bob) D Bunnell,0:52:22,1,0:53:22,14,Invitational,36,28,M,-,1
38,K J Schaurer,0:52:30,1,0:53:30,15,Invitational,37,-,M,-,1
39,Marty Maricle,0:52:34,16,1:08:34,359,Invitational,38,-,F,-,16
40,M V MacKenzie,0:52:37,4,0:56:37,32,Invitational,39,-,M,-,4
41,S H Lyons,0:52:42,4,0:56:42,35,Invitational,40,-,M,-,4
42,George Conlan,0:52:44,8,1:00:44,95,Invitational,41,-,M,-,8
43,Frank Smith,0:52:48,6,0:58:48,60,Invitational,42,-,M,-,6
44,J T Baumsteiger,0:52:59,0,0:52:59,11,Invitational,43,-,M,-,0
45,M Smith,0:53:00,14,1:07:00,297,Invitational,44,-,F,-,14
46,Peter Royce,0:53:13,6,0:59:13,66,Invitational,45,-,M,-,6
47,Arnold Knepfer,0:53:15,8,1:01:15,116,Invitational,46,-,M,-,8
48,G Ridout,0:53:19,4,0:57:19,43,Invitational,47,-,M,-,4
49,Ann Neely,0:53:21,16,1:09:21,390,Invitational,48,-,F,-,16
50,Susan Almquist,0:53:28,14,1:07:28,314,Invitational,49,-,F,-,14
51,F Evans,0:53:39,8,1:01:39,131,Invitational,50,-,M,-,8
52,K Whittingslow,0:53:39,6,0:59:39,76,Invitational,51,-,F,-,6
53,P Whittingslow,0:53:41,16,1:09:41,404,Invitational,52,-,M,-,16
54,B Murphy,0:53:45,1,0:54:45,20,Invitational,53,-,M,-,1
55,E Lee,0:53:49,4,0:57:49,51,Invitational,54,-,M,-,4
56,J Biddulph,0:53:52,12,1:05:52,249,Invitational,55,-,F,-,12
57,R Houston,0:54:08,12,1:06:08,263,Invitational,56,-,M,-,12
58,H B Jones,0:54:18,8,1:02:18,148,Invitational,57,-,M,-,8
59,C Brown,0:54:20,14,1:08:20,349,Invitational,58,-,F,-,14
60,J Carr,0:54:21,2,0:56:21,29,Invitational,59,-,M,-,2
61,A Waggoner,0:54:21,10,1:04:21,208,Invitational,60,-,M,-,10
62,W Flodberg,0:54:22,8,1:02:22,149,Invitational,61,-,M,-,8
63,P Reese,0:54:23,14,1:08:23,351,Invitational,62,-,M,-,14
64,R Sylvester,0:54:26,4,0:58:26,55,Invitational,63,-,M,-,4
65,D Basham,0:54:35,6,1:00:35,93,Invitational,64,-,M,-,6
66,R Eichsaedt,0:54:39,2,0:56:39,33,Invitational,65,-,M,-,2
67,K Gordon,0:54:42,16,1:10:42,455,Invitational,66,-,F,-,16
68,T Beck,0:54:43,4,0:58:43,58,Invitational,67,-,M,-,4
69,A Schultz,0:54:44,12,1:06:44,282,Invitational,68,-,M,-,12
70,T Wilson,0:54:45,6,1:00:45,96,Invitational,69,-,M,-,6
71,B Catanese,0:54:52,6,1:00:52,98,Invitational,70,-,M,-,6
72,R Holloway,0:54:56,4,0:58:56,64,Invitational,71,-,M,-,4
73,P Laskier,0:54:57,2,0:56:57,38,Invitational,72,-,M,-,2
74,F Dawson,0:55:00,6,1:01:00,105,Invitational,73,-,M,-,6
75,R Wilson,0:55:05,0,0:55:05,21,Invitational,74,-,M,-,0
76,F Fessaha,0:55:11,0,0:55:11,22,Invitational,75,-,M,-,0
77,J M Miller,0:55:16,6,1:01:16,117,Invitational,76,-,M,-,6
78,S Johnston,0:55:19,16,1:11:19,484,Invitational,77,-,F,-,16
79,R Rahmer,0:55:26,6,1:01:26,122,Invitational,78,-,M,-,6
80,D Kiernan,0:55:26,8,1:03:26,178,Invitational,79,-,M,-,8
81,P Bragstad,0:55:32,2,0:57:32,48,Invitational,80,-,M,-,2
82,K Kruse,0:55:36,1,0:56:36,31,Invitational,81,-,M,-,1
83,G White,0:55:38,6,1:01:38,130,Invitational,82,-,M,-,6
84,J Ball,0:55:41,4,0:59:41,77,Invitational,83,-,M,-,4
85,J Moyles,0:55:42,1,0:56:42,36,Invitational,84,-,M,-,1
86,W Dickerson,0:55:45,10,1:05:45,245,Invitational,85,-,M,-,10
87,T Standing,0:55:46,4,0:59:46,78,Invitational,86,-,M,-,4
88,J Nason,0:55:47,8,1:03:47,190,Invitational,87,-,M,-,8
89,D Ehrenberg,0:55:53,0,0:55:53,26,Invitational,88,-,M,-,0
90,E Custer,0:55:56,4,0:59:56,82,Invitational,89,-,M,-,4
91,E McGowan,0:55:59,16,1:11:59,504,Invitational,90,-,F,-,16
92,M O'Neil,0:55:59,12,1:07:59,333,Invitational,91,-,M,-,12
93,J Don,0:56:03,16,1:12:03,506,Invitational,92,-,F,-,16
94,R Gordon,0:56:06,6,1:02:06,140,Invitational,93,-,M,-,6
95,C Wilson,0:56:08,4,1:00:08,85,Invitational,94,-,M,-,4
96,C Shenefield,0:56:11,16,1:12:11,515,Invitational,95,-,F,-,16
97,F Robben,0:56:12,8,1:04:12,203,Invitational,96,-,M,-,8
98,K Singer,0:56:13,16,1:12:13,516,Invitational,97,-,F,-,16
99,R Ward,0:56:24,4,1:00:24,89,Invitational,98,-,M,-,4
100,P Hohe,0:56:26,6,1:02:26,151,Invitational,99,-,M,-,6
101,D Kerr,0:56:28,6,1:02:28,154,Invitational,100,-,M,-,6
102,L Correa,0:56:29,8,1:04:29,210,Invitational,101,-,M,-,8
103,R Kennedy,0:56:33,0,0:56:33,30,Invitational,102,-,M,-,0
104,M Reese,0:56:36,1,0:57:36,49,Invitational,103,-,M,-,1
105,P Tomei,0:56:38,14,1:10:38,448,Invitational,104,-,F,-,14
106,J Colombet,0:56:40,0,0:56:40,34,Invitational,105,-,M,-,0
107,C Fox,0:56:41,12,1:08:41,363,Invitational,106,-,F,-,12
108,D White,0:56:43,8,1:04:43,215,Invitational,107,-,M,-,8
109,G Frazier,0:56:45,2,0:58:45,59,Invitational,108,-,M,-,2
110,J Warren,0:56:46,6,1:02:46,164,Invitational,109,-,M,-,6
111,D Byron,0:56:46,6,1:02:46,165,Invitational,110,-,M,-,6
112,J Coleman,0:56:48,0,0:56:48,37,Invitational,111,-,M,-,0
113,S Hoots,0:56:53,4,1:00:53,99,Invitational,112,-,M,-,4
114,J Jones,0:56:56,4,1:00:56,100,Invitational,113,-,M,-,4
115,J Edlebrock,0:56:58,1,0:57:58,53,Invitational,114,-,M,-,1
116,T Palmer,0:56:59,4,1:00:59,103,Invitational,115,-,M,-,4
117,J Wedereit,0:57:00,4,1:01:00,106,Invitational,116,-,M,-,4
118,J Wirdzek,0:57:01,0,0:57:01,40,Invitational,117,-,M,-,0
119,G Weiss,0:57:01,2,0:59:01,65,Invitational,118,-,M,-,2
120,G Slater,0:57:02,4,1:01:02,108,Invitational,119,-,M,-,4
121,P Freeman,0:57:02,0,0:57:02,41,Invitational,120,-,M,-,0
122,A Clark,0:57:02,14,1:11:02,476,Invitational,121,-,M,-,14
123,T Dresser,0:57:05,4,1:01:05,110,Invitational,122,-,M,-,4
124,M Moreton,0:57:16,14,1:11:16,483,Invitational,123,-,F,-,14
125,D Schultz,0:57:17,4,1:01:17,118,Invitational,124,-,M,-,4
126,C Steer,0:57:19,0,0:57:19,44,Invitational,125,-,M,-,0
127,T Gaetani,0:57:20,2,0:59:20,69,Invitational,126,-,M,-,2
128,R Bonner,0:57:23,4,1:01:23,120,Invitational,127,-,M,-,4
129,V Blankenship,0:57:25,16,1:13:25,559,Invitational,128,-,F,-,16
130,R Lyons,0:57:27,4,1:01:27,123,Invitational,129,-,M,-,4
131,J Conrad,0:57:27,1,0:58:27,56,Invitational,130,-,M,-,1
132,C Moran,0:57:28,4,1:01:28,125,Invitational,131,-,M,-,4
133,A Olson,0:57:28,4,1:01:28,126,Invitational,132,-,M,-,4
134,T Forsyth,0:57:35,4,1:01:35,128,Invitational,133,-,M,-,4
135,B Stock,0:57:35,6,1:03:35,183,Invitational,134,-,M,-,6
136,J Turrini,0:57:37,4,1:01:37,129,Invitational,135,-,M,-,4
137,R Clark,0:57:38,1,0:58:38,57,Invitational,136,-,M,-,1
138,J Crumpler,0:57:38,2,0:59:38,74,Invitational,137,-,M,-,2
139,Mike G McManus,0:57:39,4,1:01:39,132,Invitational,138,13,M,-,4
140,L Souza,0:57:40,6,1:03:40,185,Invitational,139,-,M,-,6
141,W Smartt,0:57:40,4,1:01:40,133,Invitational,140,-,M,-,4
142,L Houston,0:57:45,16,1:13:45,574,Invitational,141,-,F,-,16
143,C Johnson,0:57:47,2,0:59:47,79,Invitational,142,-,M,-,2
144,P von Widenfield,0:57:47,10,1:07:47,327,Invitational,143,-,M,-,10
145,G O'Gara,0:57:47,12,1:09:47,411,Invitational,144,-,M,-,12
146,C Mitchell,0:58:01,16,1:14:01,583,Invitational,145,-,F,-,16
147,T Flood,0:58:08,4,1:02:08,141,Invitational,146,-,M,-,4
148,J L Gault,0:58:15,10,1:08:15,345,Invitational,147,-,M,-,10
149,L Kuykendall,0:58:20,2,1:00:20,87,Invitational,148,-,M,-,2
150,J Waste,0:58:28,10,1:08:28,354,Invitational,149,-,M,-,10
151,W Swiatecki,0:58:37,10,1:08:37,361,Invitational,150,-,M,-,10
