place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Albert Gorse,0:51:00,6,0:57:00,-,-,-,-,M,-,6
2,Paul Westerlund,0:51:30,4,0:55:30,-,-,-,-,M,-,4
3,Mason Hartwell,0:52:01,0,0:52:01,-,-,-,-,M,-,0
4,Robert Howden Jr,0:52:36,6,0:58:36,-,-,-,-,M,-,6
5,George Hartwell,0:53:15,4,0:57:15,-,-,-,-,M,-,4
6,William Johnson,0:53:30,5,0:58:30,-,-,-,-,M,-,5
7,William Howden,0:53:34,0,0:53:34,-,-,-,-,M,-,0
8,John A Salmi,0:54:00,3.5,0:57:30,-,-,-,-,M,-,3.5
9,William D Blumenthal,0:54:11,6,1:00:11,-,-,-,-,M,-,6
10,Charles Craig,0:54:47,5,0:59:47,-,-,-,-,M,-,5
11,Oliver Millard,0:55:14,2,0:57:14,-,-,-,-,M,-,2
12,John Gustafson,0:53:18,3,0:58:18,-,-,-,-,M,-,3
13,William Rehberg,0:55:30,0,0:55:30,-,-,-,-,M,-,0
14,Robert I  Richards,0:56:00,6,1:02:00,-,-,-,-,M,-,6
15,J  Clark,0:56:46,5,1:01:46,-,-,-,-,M,-,5
16,J W Grant,0:56:58,7.5,1:04:28,-,-,-,-,M,-,7.5
17,C  Hoiuver,0:56:59,5,1:01:59,-,-,-,-,M,-,5
18,I Day,0:57:22,7.5,1:04:52,-,-,-,-,M,-,7.5
19,T J O'Shea,0:57:35,5,1:02:35,-,-,-,-,M,-,5
20,F  A Williams,0:57:44,5,1:02:44,-,-,-,-,M,-,5
21,G  Binkeley,0:57:50,5,1:02:50,-,-,-,-,M,-,5
22,C Molinari,0:57:57,1,0:58:57,-,-,-,-,M,-,1
23,H L Morton,0:58:36,5,1:03:36,-,-,-,-,M,-,5
24,Leggett,0:59:11,5,1:04:11,-,-,-,-,M,-,5
25,William McAdoo,0:59:15,7,1:06:15,-,-,-,-,M,-,7
26,O  E Ahikvist,1:00:55,5,1:05:55,-,-,-,-,M,-,5
27,William C Marshall,1:01:45,7,1:08:45,-,-,-,-,M,-,7
28,H Fried,1:01:51,5,1:06:51,-,-,-,-,M,-,5
29,O Jennchien,1:01:52,7,1:08:52,-,-,-,-,M,-,7
30,Albert Rohi,1:01:55,5,1:06:55,-,-,-,-,M,-,5
31,F Brealawaki,1:01:57,5,1:06:57,-,-,-,-,M,-,5
32,W  Sullivan,1:02:05,5,1:07:05,-,-,-,-,M,-,5
33,F Zenazsl,1:02:46,5,1:07:46,-,-,-,-,M,-,5
34,C F Dunn,1:02:51,8,1:10:51,-,-,-,-,M,-,8
35,F Robbiins Jr,1:02:28,7,1:10:28,-,-,-,-,M,-,7
36,W Archambault,1:02:54,5,1:07:54,-,-,-,-,M,-,5
37,W Stuart,1:03:00,5,1:08:00,-,-,-,-,M,-,5
38,G Brinen,1:03:28,5,1:08:28,-,-,-,-,M,-,5
39,M  Rhodes,1:03:81,5,1:08:81,-,-,-,-,M,-,5
40,M Wilde,1:03:36,7,1:10:36,-,-,-,-,M,-,7
41,B Garcia,1:03:40,4,1:06:40,-,-,-,-,M,-,4
42,B Spurr,1:03:42,7.5,1:11:12,-,-,-,-,M,-,7.5
43,H Waters,1:03:52,3,1:08:52,-,-,-,-,M,-,3
44,H Rimmer,1:03:58,5,1:08:58,-,-,-,-,M,-,5
45,Albert H Silvernail,1:04:00,5,1:09:00,-,-,-,-,M,-,5
46,H Campbell,1:04:15,6,1:10:15,-,-,-,-,M,-,6
47,J Rehberg,1:04:15,5,1:09:16,-,-,-,-,M,-,5
48,F de Andries,1:05:10,5,1:18:10,-,-,-,-,M,-,5
49,J Tracey,1:05:83,5,1:10:83,-,-,-,-,M,-,5
50,F Kleckner,1:05:40,5,1:10:40,-,-,-,-,M,-,5
51,W Forner,1:06:11,5,1:11:11,-,-,-,-,M,-,5
52,A  P Rhoden Jr,1:07:14,5,1:12:14,-,-,-,-,M,-,5
53,W R Barnes,1:07:14,5,1:12:14,-,-,-,-,M,-,5
54,R  Barker,1:07:28,5,1:12:28,-,-,-,-,M,-,5
55,F Carey,1:07:37,5,1:12:37,-,-,-,-,M,-,5
56,K Marks,1:07:55,5,1:12:55,-,-,-,-,M,-,5
57,B Kemlan,1:08:05,5,1:13:05,-,-,-,-,M,-,5
58,A S Carpenter,1:10:20,5,1:15:20,-,-,-,-,M,-,5
59,C Faliahey,1:11:12,5,1:16:12,-,-,-,-,M,-,5
60,J Sheahan,1:12:06,5,1:17:06,-,-,-,-,M,-,5
61,W Wallace,1:12:41,5,1:17:41,-,-,-,-,M,-,5
62,W Freisen,1:12:52,5,1:17:52,-,-,-,-,M,-,5
63,A Holl,1:18:13,8,1:21:13,-,-,-,-,M,-,8
64,C S Forgay,1:12:25,5,1:18:25,-,-,-,-,M,-,5
65,M Russell,1:14:23,5,1:19:23,-,-,-,-,M,-,5
66,D J Williamson,1:14:45,5,1:19:45,-,-,-,-,M,-,5
67,R Paden,1:14:47,5,1:19:47,-,-,-,-,M,-,5
68,J Kelly,1:14:47,5,1:19:47,-,-,-,-,M,-,5
69,E A Haines,1:17:53,5,1:22:53,-,-,-,-,M,-,5
70,E Pradgley,1:17:37,3,1:20:37,-,-,-,-,M,-,3
71,K Williams,1:17:58,6,1:23:58,-,-,-,-,M,-,6
72,J J Burke,1:22:20,-,-,-,-,-,-,M,-,-
