place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Darryl Beardall,0:42:03,8,0:50:03,2,Invitational,1,-,M,-,8
2,Homer R Latimer,0:43:00,6,0:49:00,1,Invitational,2,39,M,-,6
3,Jim Nicholson,0:45:13,10,0:55:13,23,Invitational,3,-,M,-,10
4,Russ Kiernan,0:45:35,8,0:53:35,13,Invitational,4,-,M,-,8
5,Bob J Malain,0:45:51,12,0:57:51,41,Invitational,5,51,M,-,12
6,Hans Roenau,0:46:03,12,0:58:03,45,Invitational,6,-,M,-,12
7,Bruce Carradine,0:46:56,10,0:56:56,33,Invitational,7,-,M,-,10
8,Dan T Seamount,0:47:00,14,1:01:00,94,Invitational,8,-,M,-,14
9,Barbara Magid,0:47:46,18,1:05:46,211,Invitational,9,-,F,-,18
10,Mike G McManus,0:48:08,10,0:58:08,46,Invitational,10,12,M,-,10
11,Paul Thompson,0:48:24,4,0:52:24,8,Invitational,11,-,M,-,4
12,Robert (Bob) D Bunnell,0:48:39,2,0:50:39,3,Invitational,12,27,M,-,2
13,Lane Mason,0:48:41,4,0:52:41,10,Invitational,13,-,M,-,4
14,Dick Houston,0:48:45,14,1:02:45,141,Invitational,14,-,M,-,14
15,Paul Reese,0:49:05,16,1:05:05,197,Invitational,15,-,M,-,16
16,Don Chaffee,0:49:07,6,0:55:07,20,Invitational,16,-,M,-,6
17,Ralph Paffenburger,0:49:30,14,1:03:30,165,Invitational,17,-,M,-,14
18,Karl Marschall,0:49:30,12,1:01:30,106,Invitational,18,-,M,-,12
19,Dane Larsen,0:49:36,2,0:51:36,5,Invitational,19,-,M,-,2
20,Bill Kirchmeier,0:49:43,10,0:59:43,68,Invitational,20,-,M,-,10
21,J C Burton,0:49:51,14,1:03:51,173,Invitational,21,-,M,-,14
22,Pam Purcell,0:50:05,16,1:06:05,219,Invitational,22,-,F,-,16
23,Bill Brace,0:50:10,12,1:02:10,121,Invitational,23,-,m,-,12
24,Raoul F Kennedy,0:50:13,4,0:54:13,16,Invitational,24,-,M,-,4
25,Orin Dahl,0:50:20,8,0:58:20,48,Invitational,25,-,M,-,8
26,T Watkins,0:50:28,6,0:56:28,30,Invitational,26,-,M,-,6
27,P Aagard,0:50:31,4,0:54:31,18,Invitational,27,-,M,-,4
28,Ray A Morris,0:50:31,12,1:02:31,134,Invitational,28,-,M,-,12
29,Tom W Beck,0:50:36,6,0:56:36,31,Invitational,29,-,M,-,6
30,E P Lee,0:50:58,6,0:56:58,34,Invitational,30,-,M,-,6
31,Art Waggoner,0:51:03,12,1:03:03,148,Invitational,31,-,M,-,12
32,Bert Botta,0:51:08,6,0:57:08,35,Invitational,32,-,M,-,6
33,Jim Miller,0:51:09,8,0:59:09,58,Invitational,33,-,M,-,8
34,Steve P Lyons,0:51:09,6,0:57:09,37,Invitational,34,-,M,-,6
35,James A Clever,0:51:12,8,0:59:12,59,Invitational,35,-,M,-,8
36,Peter Sweeney,0:51:14,0,0:51:14,4,Invitational,36,-,M,-,0
37,L Kuykendahl,0:51:20,2,0:53:20,11,Invitational,37,-,M,-,2
38,W J Dickerson,0:51:21,12,1:03:21,160,Invitational,38,-,M,-,12
39,J O'Neil,0:51:32,12,1:03:32,166,Invitational,39,-,M,-,12
40,R D Webb,0:51:40,10,1:01:40,109,Invitational,40,-,M,-,10
41,R C Eichstaedt,0:51:46,4,0:55:46,27,Invitational,41,-,M,-,4
42,L B Sampson,0:51:51,6,0:57:51,42,Invitational,42,-,M,-,6
43,A Neeley,0:51:52,18,1:09:52,319,Invitational,43,-,F,-,18
44,A Knepfer,0:51:57,10,1:01:57,113,Invitational,44,-,M,-,10
45,T E Wilson,0:52:02,8,1:00:02,75,Invitational,45,-,M,-,8
46,K Hastings,0:52:17,6,0:58:17,47,Invitational,46,-,M,-,6
47,E Jerome,0:52:22,4,0:56:22,29,Invitational,47,-,M,-,4
48,P Whittingslow,0:52:27,18,1:10:27,339,Invitational,48,-,F,-,18
49,R Justice,0:52:31,8,1:00:31,83,Invitational,49,-,M,-,8
50,S Ottoway,0:52:38,0,0:52:38,9,Invitational,50,-,M,-,0
51,T Vaughn,0:52:44,8,1:00:44,86,Invitational,51,-,M,-,8
52,R Sylvester,0:52:46,6,0:58:46,52,Invitational,52,-,M,-,6
53,R M White,0:52:53,10,1:02:53,143,Invitational,53,-,M,-,10
54,P T Hohe,0:52:54,8,1:00:54,90,Invitational,54,-,M,-,8
55,C M Johansen,0:52:59,14,1:06:59,247,Invitational,55,-,F,-,14
56,E J McGowan,0:52:59,18,1:10:59,351,Invitational,56,-,F,-,18
57,R E Materie,0:53:02,18,1:11:02,356,Invitational,57,-,F,-,18
58,M D Healy,0:53:05,10,1:03:05,150,Invitational,58,-,M,-,10
59,B B Carlson,0:53:07,18,1:11:07,363,Invitational,59,-,F,-,18
60,R E Heierle,0:53:08,0,0:53:80,15,Invitational,60,-,M,-,0
61,R L Thaning,0:53:08,4,0:57:08,36,Invitational,61,-,M,-,4
62,D J Andrews,0:53:20,18,1:11:20,373,Invitational,62,-,F,-,18
63,J E Emery,0:53:27,10,1:03:27,164,Invitational,63,-,M,-,10
64,J D Zimmerman,0:53:30,0,0:53:30,12,Invitational,64,-,M,-,0
65,R A Lyon,0:53:31,6,0:59:31,62,Invitational,65,-,M,-,6
66,W A Main,0:53:35,14,1:07:35,260,Invitational,66,-,M,-,14
67,R P Cordone,0:53:36,2,0:55:36,25,Invitational,67,-,M,-,2
68,V C Reeve,0:53:39,6,0:59:39,67,Invitational,68,-,M,-,6
69,M D Hoschlar,0:53:42,2,0:55:42,26,Invitational,69,-,M,-,2
70,B D Lunsford,0:53:44,12,1:05:44,210,Invitational,70,-,M,-,12
71,M E Gaffield,0:53:44,14,1:07:44,263,Invitational,71,-,F,-,14
72,K Whittingslow,0:53:47,6,0:59:47,69,Invitational,72,-,M,-,6
73,G Ridout,0:53:49,6,0:59:49,70,Invitational,73,-,M,-,6
74,J Gault,0:53:50,12,1:05:50,212,Invitational,74,-,M,-,12
75,T J Wilson,0:53:50,6,0:59:50,71,Invitational,75,-,M,-,6
76,F E Dawson,0:53:50,8,1:01:50,110,Invitational,76,-,M,-,8
77,D M Houston,1:05:53,4,0:57:53,43,Invitational,77,-,M,-,4
78,S Citarella,0:53:57,6,0:59:57,72,Invitational,78,-,M,-,6
79,W F Murphy,0:53:58,2,0:55:58,28,Invitational,79,-,M,-,2
80,E S Sweeney,0:53:59,0,0:53:59,14,Invitational,80,-,M,-,0
81,R L Rolston,0:54:05,8,1:02:05,117,Invitational,81,-,M,-,8
82,M Tiscornia,0:54:08,16,1:10:08,330,Invitational,82,-,F,-,16
83,Kazik,0:54:19,0,0:54:19,17,Invitational,83,-,M,-,0
84,T H Standing,0:54:28,6,1:00:28,82,Invitational,84,-,M,-,6
85,F X Smith,0:54:34,6,1:00:34,85,Invitational,85,-,M,-,6
86,F A Robben,0:54:38,8,1:02:38,137,Invitational,86,-,M,-,8
87,Schultz,0:54:39,4,0:58:39,49,Invitational,87,-,M,-,4
88,F Evans,0:54:43,10,1:04:43,189,Invitational,88,-,M,-,10
89,G K Behlmer,0:54:44,4,0:58:44,51,Invitational,89,-,M,-,4
90,D A Gustafson,0:54:47,4,0:58:47,53,Invitational,90,-,M,-,4
91,R F Greenwald,0:54:50,4,0:58:50,54,Invitational,91,-,M,-,4
92,R H Treabess,0:54:51,6,1:00:51,89,Invitational,92,-,M,-,6
93,D A Whitenack,0:54:52,4,0:58:52,55,Invitational,93,-,M,-,4
94,J H Ball,0:54:54,6,1:00:54,91,Invitational,94,-,M,-,6
95,Hermans,0:54:56,8,1:02:56,144,Invitational,95,-,M,-,8
96,D N MacIntosh,0:55:04,10,1:05:04,196,Invitational,96,-,M,-,10
97,L T Burns,0:55:06,18,1:13:06,432,Invitational,97,-,F,-,18
98,C A MacMahon,0:55:07,0,0:55:07,21,Invitational,98,-,M,-,0
99,B Ward,0:55:08,6,1:01:08,97,Invitational,99,-,M,-,6
100,K J Bollinger,0:55:10,12,1:07:10,249,Invitational,100,-,M,-,12
101,B Catanese,0:55:12,8,1:03:12,153,Invitational,101,-,M,-,8
102,W P Biggs,0:55:13,12,1:07:13,251,Invitational,102,-,M,-,12
103,I Mickle,0:55:14,0,0:55:14,24,Invitational,103,-,M,-,0
104,E Norgard,0:55:16,8,1:03:16,155,Invitational,104,-,M,-,8
105,M V Mackenzie,0:55:18,4,0:59:18,60,Invitational,105,-,M,-,4
106,J T Pinckard,0:55:20,8,1:03:20,158,Invitational,106,-,M,-,8
107,A M Clark,0:55:23,16,1:11:23,376,Invitational,107,-,M,-,16
108,J L Wilkins,0:55:36,6,1:01:36,108,Invitational,108,-,M,-,6
109,N M Reese,0:55:40,2,0:57:40,39,Invitational,109,-,M,-,2
110,J L Weeks,0:55:50,8,1:03:50,172,Invitational,110,-,M,-,8
111,T P Flood,0:55:51,6,1:01:91,114,Invitational,111,-,M,-,6
112,D J Byron,0:55:56,6,1:01:56,112,Invitational,112,-,M,-,6
113,J A Carlson,0:56:00,4,1:00:00,73,Invitational,113,-,M,-,4
114,P J Dempster,0:56:02,6,1:02:02,115,Invitational,114,-,M,-,6
115,R J Scellato,0:56:09,4,1:00:09,78,Invitational,115,-,M,-,4
116,E L Pederson,0:56:11,18,1:14:11,469,Invitational,116,-,F,-,18
117,J J Nason,0:56:14,10,1:06:14,227,Invitational,117,-,M,-,10
118,J H Brazinsky,0:56:15,6,1:02:15,123,Invitational,118,-,M,-,6
119,M A Mitrovich,0:56:16,4,1:00:16,80,Invitational,119,-,M,-,4
120,R E Swingley,0:56:17,14,1:10:17,335,Invitational,120,-,F,-,14
121,r b Stock,0:56:19,8,1:04:19,181,Invitational,121,-,m,-,8
122,H B Jones,0:56:21,8,1:04:21,182,Invitational,122,-,M,-,8
123,T A Palmer,0:56:26,6,1:02:26,129,Invitational,123,-,M,-,6
124,Thomas K McManus Jr,0:56:27,8,1:04:27,186,Invitational,124,42,M,-,8
125,R Bekes,0:56:30,6,1:02:30,132,Invitational,125,-,M,-,6
126,D R Kerr,0:56:34,6,1:02:34,135,Invitational,126,-,M,-,6
127,L J Marshall,0:56:36,10,1:06:36,240,Invitational,127,-,M,-,10
128,K V Gordon,0:56:38,18,1:14:38,485,Invitational,128,-,F,-,18
129,W H Hetzel,0:56:40,6,1:02:40,140,Invitational,129,-,M,-,6
130,Jack G Kirk,0:56:50,16,1:12:50,424,Invitational,130,71,M,-,16
131,W J Flodberg,0:56:54,8,1:04:54,194,Invitational,131,-,M,-,8
132,O'Donoghue,0:56:55,4,1:00:55,92,Invitational,132,-,M,-,4
133,G D Slater,0:56:57,4,1:00:57,93,Invitational,133,-,M,-,4
134,N T Donovan,0:56:58,10,1:06:58,245,Invitational,134,-,M,-,10
135,P J Downey,0:57:00,4,1:01:00,95,Invitational,135,-,M,-,4
136,Morelli,0:57:04,2,0:59:04,57,Invitational,136,-,M,-,2
137,J P Fischer,0:57:06,4,1:01:06,96,Invitational,137,-,M,-,4
138,N V Epanchin,0:57:13,6,1:03:13,154,Invitational,138,-,M,-,6
139,G W High,0:57:15,8,1:05:15,203,Invitational,139,-,M,-,8
140,R R Clark,0:57:18,6,1:03:18,157,Invitational,140,-,M,-,6
141,T H Jefferson,0:57:23,6,1:03:23,161,Invitational,141,-,M,-,6
142,G J Wright,0:57:25,4,1:01:25,103,Invitational,142,-,M,-,4
143,P E Schoenwetter,0:57:27,2,0:59:27,61,Invitational,143,-,M,-,2
144,R M Nakata,0:57:32,2,0:59:32,63,Invitational,144,-,M,-,2
145,C G Johnson,0:57:36,2,0:59:36,64,Invitational,145,-,M,-,2
146,J B Wiley,0:57:36,18,1:15:36,511,Invitational,146,-,F,-,18
147,I Rudolf,0:57:38,18,1:15:38,514,Invitational,147,-,F,-,18
148,D F German,0:57:53,8,1:05:53,213,Invitational,148,-,M,-,8
149,Correa,0:57:55,8,1:05:55,215,Invitational,149,-,M,-,8
150,Unknown,0:57:56,6,1:03:56,175,Invitational,150,-,M,-,6
151,W W Moore,0:58:00,8,1:06:00,218,Invitational,151,-,M,-,8
152,E E Jacobson,0:58:09,10,1:08:09,274,Invitational,152,-,M,-,10
153,M K Willard,0:58:17,12,1:10:17,336,Invitational,153,-,M,-,12
154,Armbruster,0:58:20,16,1:14:20,473,Invitational,154,-,F,-,16
155,C M Fox,0:58:28,14,1:12:28,415,Invitational,155,-,F,-,14
156,C Mitchell,0:58:37,18,1:16:37,545,Invitational,156,-,F,-,18
157,Weiss,0:58:39,4,1:02:39,138,Invitational,157,-,m,-,4
158,W D Zech,0:58:40,6,1:04:40,187,Invitational,158,-,M,-,6
159,W J Warren,0:58:40,6,1:04:40,188,Invitational,159,-,M,-,6
160,D Bradwell,0:58:40,10,1:08:40,284,Invitational,160,-,M,-,10
161,R D Tripp,0:58:46,12,1:10:46,342,Invitational,161,-,M,-,12
162,Michael M Adams,0:58:49,6,1:04:49,193,Invitational,162,35,M,-,6
163,S Reynaga,0:58:50,2,1:00:50,88,Invitational,163,-,M,-,2
164,R A McNally,0:58:52,4,1:02:52,142,Invitational,164,-,M,-,4
165,D H Innes,0:58:58,4,1:02:58,145,Invitational,165,-,M,-,4
166,E L Hayman,0:59:00,8,1:07:00,248,Invitational,166,-,M,-,8
167,B E MacMahon,0:59:02,0,0:59:02,56,Invitational,167,-,M,-,0
168,R E Winnie,0:59:03,4,1:03:03,149,Invitational,168,-,M,-,4
169,J H Holly,0:59:05,6,1:05:05,198,Invitational,169,-,M,-,6
170,N E Turner,0:59:16,4,1:03:16,156,Invitational,170,-,M,-,4
171,W C Robbins,0:59:22,6,1:05:22,206,Invitational,171,-,M,-,6
172,D G Madronich,0:59:24,4,1:01:24,102,Invitational,172,-,M,-,4
173,W S Carvill,0:59:27,2,1:01:27,104,Invitational,173,-,M,-,2
174,W J Albion,0:59:31,8,1:07:31,256,Invitational,174,-,M,-,8
175,D D Phillips,0:59:37,16,1:19:37,623,Invitational,175,-,F,-,16
176,L C Souza,0:59:41,6,1:05:41,208,Invitational,176,-,M,-,6
177,D E Watts,0:59:42,4,1:03:42,169,Invitational,177,-,M,-,4
178,A D Valasek,0:59:42,10,1:09:42,314,Invitational,178,-,M,-,10
179,J C Phaby,0:59:44,4,1:03:44,170,Invitational,179,-,M,-,4
180,c r Mersereau,0:59:54,12,1:11:54,392,Invitational,180,-,m,-,12
181,W M Smartt,0:59:59,6,1:05:59,217,Invitational,181,-,M,-,6
182,L J Fox,1:00:01,14,1:14:01,460,Invitational,182,-,M,-,14
183,R L Clark,1:00:02,0,1:00:02,76,Invitational,183,-,M,-,0
184,D R Zucchi,1:00:05,6,1:06:05,220,Invitational,184,-,M,-,6
185,K W Tuinzing,1:00:06,14,1:14:06,465,Invitational,185,-,M,-,14
186,B W Brazelton,1:00:09,0,1:00:09,79,Invitational,186,-,M,-,0
187,A L Hurd,1:00:11,8,1:08:11,276,Invitational,187,-,M,-,8
188,J E McGowan,1:00:14,8,1:08:14,279,Invitational,188,-,M,-,8
189,W J Tageson,1:00:20,6,1:06:20,231,Invitational,189,-,M,-,6
190,Pau,1:00:25,2,1:02:25,128,Invitational,190,-,M,-,2
191,C V Moran,1:00:26,4,1:04:26,185,Invitational,191,-,M,-,4
192,J L Houston,1:00:27,0,1:00:27,81,Invitational,192,-,M,-,0
193,L Sekulich,1:00:51,14,1:14:51,492,Invitational,193,-,M,-,14
