place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Jon Hansen,0:52:22,5,0:57:22,8,-,1,-,M,-,5
2,Norman Bright,0:52:53,0,0:52:53,1,-,2,-,M,-,0
3,Andy Myrra,0:53:03,3.5,0:56:33,5,-,3,-,M,-,3.5
4,Leo Karlhofer,0:53:18,0,0:53:18,2,-,4,-,M,-,0
5,Pete Christensen,0:53:36,5,0:58:36,11,-,5,-,M,-,5
6,Joe Ortega,0:53:45,3.5,0:57:15,7,-,6,-,M,-,3.5
7,Torrey Lyons,0:54:01,0.5,0:54:31,4,-,7,-,M,-,0.5
8,George Wilson,0:54:50,2,0:56:50,6,-,8,-,M,-,2
9,Walter Bertram,0:55:54,3,0:58:54,12,-,9,-,M,-,3
10,Earl Lockhart,0:55:55,4,0:59:55,14,-,10,-,M,-,4
11,Erie Juhl,-,-,1:02:27,16,-,11,-,M,-,-
12,Ernest Marech,-,-,0:59:28,13,-,12,-,M,-,-
13,Edwin Ardoin,-,-,1:01:01,15,-,13,-,M,-,-
14,Walter Sarlin,-,-,0:57:54,10,-,14,-,M,-,-
15,Jack G Kirk,-,-,0:57:37,9,-,15,29,M,-,-
16,John Fratini,-,-,1:06:27,18,-,16,-,M,-,-
17,Leland Smith,-,-,1:02:37,17,-,17,-,M,-,-
18,Peter Lucio,-,-,0:54:20,3,-,18,-,M,-,-
19,Edward Fratini,-,-,1:07:21,19,-,19,-,M,-,-
20,Walter O Johnson,-,-,1:09:32,21,-,20,-,M,-,-
21,Edson Burrough,-,-,1:08:00,20,-,21,-,M,-,-
22,Jess Rogers,-,-,1:11:02,22,-,22,-,M,-,-
23,Elden Rice,-,-,1:11:11,23,-,23,-,M,-,-
24,S Lucio,-,-,1:12:59,25,-,24,-,M,-,-
25,Carl Neukirch,-,-,1:12:04,24,-,25,-,M,-,-
26,Floyd March,-,-,1:14:41,26,-,26,-,M,-,-
27,Louis Kaiser,-,-,1:19:35,27,-,27,-,M,-,-
28,Walter Taylor,-,-,1:23:24,28,-,28,-,M,-,-
29,William O'Connor,-,-,1:26:58,29,-,29,-,M,-,-
30,Paul Sylvester,-,-,1:30:58,30,-,30,-,M,-,-
31,Joel Loe,-,-,1:33:56,31,-,31,-,M,-,-
32,Bob Groswird,-,-,2:00:06,32,-,32,-,M,-,-
