place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Joe N Patterson,0:44:58,7,0:51:58,10,-,-,-,M,-,7
2,Don S Pickett,0:45:09,9,0:54:09,21,-,-,47,M,-,9
3,George F McGrath,0:45:14,13,0:58:14,46,-,-,-,M,-,13
4,Darryl Beardall,0:45:51,5,0:50:51,6,-,-,-,M,-,5
5,Debbie D Rudolph,0:45:59,11,0:56:59,35,-,-,-,F,-,11
6,Byron J Lowry,0:46:17,2,0:48:17,1,-,-,-,M,-,2
7,Bob L Biancalana,0:46:18,10,0:56:18,29,-,-,-,M,-,10
8,Gil T Tarin,0:47:10,7,0:54:10,22,-,-,-,M,-,7
9,Bob J Malain,0:47:14,9,0:56:14,27,-,-,48,M,-,9
10,Robert (Bob) D Bunnell,0:47:26,1,0:48:26,3,-,-,24,M,-,1
11,Dan T Seamount,0:47:41,11,0:58:41,54,-,-,-,M,-,11
12,Betsy W White,0:48:13,14,1:02:13,114,-,-,-,F,-,14
13,Don L Makela,0:48:22,0,0:48:22,2,-,-,24,M,-,0
14,Bill S Scobey,0:48:23,3,0:51:23,7,-,-,-,M,-,3
15,T Newhart,0:48:32,4,0:52:32,12,-,-,-,M,-,4
16,Mike D Healy,0:48:35,7,0:55:35,25,-,-,-,M,-,7
17,Chuck A Stagliano,0:48:41,4,0:52:41,13,-,-,-,M,-,4
18,Karl O Marschall,0:49:05,9,0:58:05,44,-,-,-,M,-,9
19,Jimmy Nicholson,0:49:20,7,0:56:20,30,-,-,-,M,-,7
20,Peter O Mattei,0:49:28,10,1:06:38,240,-,-,-,M,-,10
21,Wayne Z Zook,0:49:42,14,1:03:42,150,-,-,-,M,-,14
22,W A Glad,0:49:46,0,0:49:46,4,-,-,-,M,-,0
23,K U Rovtley,0:49:59,10,0:59:59,73,-,-,-,-,-,10
24,J A Vreeland,0:50:02,10,1:00:02,76,-,-,-,-,-,10
25,Joan L Ullyot,0:50:10,14,1:04:10,167,-,-,-,F,-,14
26,Dennis E Teeguarden,0:50:12,7,0:57:12,37,-,-,-,M,-,7
27,Larry E Hoyt,0:50:20,9,0:59:20,59,-,-,-,M,-,9
28,Hersh J Jenkins,0:50:26,0,0:50:26,5,-,-,-,M,-,0
29,Bruce Degen,0:50:29,3,0:53:29,17,-,-,-,M,-,3
30,E F Fitzgerald,0:50:30,3,0:53:30,18,-,-,-,M,-,3
31,T C Bertolino,0:50:31,11,1:01:32,99,-,-,-,-,-,11
32,Greg A Chapman,0:50:42,1,0:51:42,8,-,-,-,-,-,1
33,C W Seekins,0:50:50,14,1:04:50,188,-,-,-,-,-,14
34,John R Finch,0:50:56,7,0:57:56,42,-,-,-,-,-,7
35,Pat E Kelly,0:51:11,9,1:00:11,79,-,-,-,-,-,9
36,William A Main,0:51:18,12,1:03:18,139,-,-,-,-,-,12
