place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Bob Hope,0:44:41,3,0:47:41,1,-,1,-,M,-,3
2,John Weinstein,0:50:05,5,0:55:05,7,-,2,-,M,-,5
3,Darryl Beardall,0:50:31,2,0:52:31,3,-,3,-,M,-,2
4,Fernando Leon,0:50:17,0,0:50:17,2,-,4,-,M,-,0
5,Wes Hildreth,0:51:30,3,0:54:30,6,-,5,-,M,-,3
6,James Jacobs,0:51:43,4,0:55:43,10,-,6,-,M,-,4
7,Jesse Ochoa,0:52:15,1.5,0:53:45,5,-,7,-,M,-,1.5
8,Jim Schettler,0:52:51,0.5,0:53:21,4,-,8,-,M,-,0.5
9,Stuart Sparling,0:53:01,5,0:58:01,13,-,9,-,M,-,5
10,John Lacy,0:53:04,3,0:56:04,11,-,10,-,M,-,3
11,Ralph Perry,0:54:07,1,0:55:07,8,-,11,-,M,-,1
12,Jack Marden,0:54:07,1.5,0:55:37,9,-,12,-,M,-,1.5
13,William (Bill) Ferlatte,0:54:41,3,0:57:41,12,-,13,19,M,-,3
14,Eddie Ramirez,0:55:54,4.5,1:00:24,16,-,14,-,M,-,4.5
15,Jim Maddox,0:56:02,3,0:59:02,14,-,15,-,M,-,3
16,Leon Stroughter,0:56:02,4.5,1:00:32,17,-,16,-,M,-,4.5
17,John Weidenger,0:56:11,4.5,1:00:41,18,-,17,-,M,-,4.5
18,Joe King,0:56:37,5,1:01:37,21,-,18,-,M,-,5
19,John Satti,0:56:44,10,1:06:44,33,-,19,-,M,-,10
20,Jose Valle,0:57:13,3,1:00:13,15,-,20,-,M,-,3
21,James Tominaga,0:57:32,15,1:12:32,50,-,21,-,M,-,15
22,Victor Duran,0:57:39,15,1:12:39,51,-,22,-,M,-,15
23,Tim Kelly,0:57:45,3,1:00:45,19,-,23,-,M,-,3
24,Ron Grabowski,0:58:02,3,1:01:02,20,-,24,-,M,-,3
25,George Cagwin,0:58:16,4.5,1:02:46,23,-,25,-,M,-,4.5
26,Jack G Kirk,0:58:25,6,1:04:25,25,-,26,54,M,-,6
27,Bill Ranney,0:59:02,6,1:05:02,29,-,27,-,M,-,6
28,Phillip Mooers,0:59:13,12,1:11:13,45,-,28,-,M,-,12
29,Walter Jacquith Jr,1:00:26,5,1:05:26,30,-,29,-,M,-,5
30,Tom Jennings,1:00:29,4.5,1:04:59,28,-,30,-,M,-,4.5
31,Michael Brodie,1:00:32,3,1:03:32,24,-,31,-,M,-,3
32,Tim Jordan,1:00:54,4,1:04:54,27,-,32,-,M,-,4
33,Chas Curtis,1:01:11,1.5,1:02:41,22,-,33,-,M,-,1.5
34,Jack Beggs,1:01:20,5,1:06:20,31,-,34,-,M,-,5
35,Don Lee,1:01:51,3,1:04:51,26,-,35,-,M,-,3
36,Fritz Tietze,1:01:58,5,1:06:58,34,-,36,-,M,-,5
37,James Forsyth,1:02:11,4.5,1:06:41,32,-,37,-,M,-,4.5
38,Michael M Adams,1:02:42,5,1:07:42,35,-,38,17,M,-,5
39,Chris Arundell,1:03:14,5,1:08:14,36,-,39,-,M,-,5
40,Ken Strong,1:03:50,7,1:10:50,42,-,40,-,M,-,7
41,Dan O'Brien,1:04:29,5,1:09:29,39,-,41,-,M,-,5
42,Ken Morse,1:04:30,4.5,1:09:00,37,-,42,-,M,-,4.5
43,Peter Giachetti,1:05:48,5,1:10:48,41,-,43,-,M,-,5
44,Mike Gibeau,1:06:03,5,1:11:03,44,-,44,-,M,-,5
45,Herb Potter,1:06:21,4.5,1:10:51,43,-,45,-,M,-,4.5
46,James Nigra,1:06:24,3,1:09:24,38,-,46,-,M,-,3
47,John Dick,1:06:45,6,1:12:45,52,-,47,-,M,-,6
48,John F Ahrendes,1:07:14,3,1:10:14,40,-,48,-,M,-,3
49,Jim Fuller,1:07:16,5,1:12:16,48,-,49,-,M,-,5
50,Chas Cox,1:07:53,4.5,1:12:23,49,-,50,-,M,-,4.5
51,Alan Anetsky,1:08:36,3,1:11:36,46,-,51,-,M,-,3
52,Bill Fischer,1:08:40,4.5,1:13:10,53,-,52,-,M,-,4.5
53,David Anderegg,1:08:44,5,1:13:44,55,-,53,-,M,-,5
54,Kenneth Vasquez,1:09:11,3,1:12:11,47,-,54,-,M,-,3
55,Richard Avalos,1:09:14,4.5,1:13:44,56,-,55,-,M,-,4.5
56,Ken Owen,1:09:45,5,1:14:45,57,-,56,-,M,-,5
57,Ronald Schmidt,1:10:13,5,1:15:13,58,-,57,-,M,-,5
58,Henry Stroughter,1:10:19,6,1:16:19,61,-,58,-,M,-,6
59,Phil  Fortier,1:10:40,3,1:13:40,54,-,59,-,M,-,3
60,Lud Lozier,1:10:53,6,1:16:53,62,-,60,-,M,-,6
61,Chas Schlemmer,1:10:54,5,1:15:54,60,-,61,-,M,-,5
