place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Andrew Ahern,0:46:00,15,1:01:00,-,-,-,-,M,-,15
2,William O Johnson,0:48:00,8,0:56:00,-,-,-,-,M,-,8
3,Basil L Spurr,0:48:40,4.5,0:53:10,-,-,-,-,M,-,4.5
4,Ray Glennon,0:48:50,12,1:00:50,-,-,-,-,M,-,12
5,Wint Blackwell,0:49:05,4.5,0:53:35,-,-,-,-,M,-,4.5
6,Albert J Gorse,0:49:20,3.5,0:52:50,-,-,-,-,M,-,3.5
7,Oliver Millard,0:49:30,0,0:49:30,-,-,-,-,M,-,0
8,Ray Locke,0:50:00,8,0:58:00,-,-,-,-,M,-,8
9,Oliver Jones,0:50:16,15,1:05:16,-,-,-,-,M,-,15
10,Hugh Foley,0:50:23,9,0:59:25,-,-,-,-,M,-,9
11,Chas S Bocchio,0:51:05,4.5,0:55:35,-,-,-,-,M,-,4.5
12,W E Lenz,0:51:30,10,1:01:30,-,-,-,-,M,-,10
13,D S Macanlay,0:51:31,9,1:00:31,-,-,-,-,M,-,9
14,James Nehar,0:52:03,3.5,0:55:37,-,-,-,-,M,-,3.5
15,Edwin Aitken,0:52:10,9,1:01:10,-,-,-,-,M,-,9
16,William Higgins,0:52:30,10,1:02:30,-,-,-,-,M,-,10
17,James A Woodside,0:52:55,8,1:00:55,-,-,-,-,M,-,8
18,John Reese,0:53:03,7,1:00:03,-,-,-,-,M,-,7
19,Edgar VVAA Stout,0:53:00,5,0:58:00,-,-,-,-,M,-,5
20,A P Helbush,0:53:07,9,1:02:07,-,-,-,-,M,-,9
21,Georger Branner,0:53:42,4.5,0:58:12,-,-,-,-,M,-,4.5
22,Edward Cole,0:54:20,7.5,1:01:30,-,-,-,-,M,-,7.5
23,Hugh P Seebohm,0:54:34,6,1:00:34,-,-,-,-,M,-,6
24,A Pinther,0:54:53,7,1:01:53,-,-,-,-,M,-,7
25,A Wasbauer,0:56:19,10,1:06:19,-,-,-,-,M,-,10
26,Isaac C Day,0:56:30,10,1:06:30,-,-,-,-,M,-,10
27,T S Quinn,0:56:49,7,1:03:49,-,-,-,-,M,-,7
28,E J Martinez,0:56:34,7,1:03:54,-,-,-,-,M,-,7
29,W C Marshall,0:57:00,7.5,1:04:30,-,-,-,-,M,-,7.5
30,Georger H Hartwell,0:57:20,5,1:02:20,-,-,-,-,M,-,5
31,William Cupples,0:57:55,6.5,1:04:25,-,-,-,-,M,-,6.5
32,W J Haavind,0:57:56,7.5,1:05:26,-,-,-,-,M,-,7.5
33,A Anderson,0:55:10,7.5,1:05:14,-,-,-,-,M,-,7.5
34,Basil B Golding,0:58:36,8,1:06:36,-,-,-,-,M,-,8
35,William F Peters,0:59:00,13,1:12:00,-,-,-,-,M,-,13
36,J O Gustafson,0:59:15,9,1:08:15,-,-,-,-,M,-,9
37,F A Fleckner,0:59:16,8,1:07:16,-,-,-,-,M,-,8
38,F  S Robbins Jr,0:59:40,12,1:11:40,-,-,-,-,M,-,12
39,Basil F Lee,1:03:03,7,1:10:03,-,-,-,-,M,-,7
40,James Hollis,1:03:43,8,1:11:43,-,-,-,-,M,-,8
41,Bud M Smith,1:06:20,7,1:13:20,-,-,-,-,M,-,7
42,Melville Hollis,1:13:05,12,1:27:05,-,-,-,-,M,-,12
