place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Leslie MacGregor,0:49:06,8,0:57:06,5,-,1,-,M,-,8
2,Charles A Richesin,0:49:04,3,0:52:04,1,-,2,19,M,-,3
3,Stewart S Cramer,0:50:04,11,1:01:04,17,-,3,-,M,-,11
4,Robert Banfield,0:50:05,14,1:04:05,28,-,4,-,M,-,14
5,Robert G Annis,0:51:22,11,1:02:22,19,-,5,-,M,-,11
6,George Wilson,0:52:05,10,1:02:05,18,-,6,-,M,-,10
7,Ted Wassem,0:53:04,6,0:59:04,12,-,7,-,M,-,6
8,Nick Miller,0:53:04,10,1:03:04,22,-,8,-,M,-,10
9,Bruce Rich,0:53:05,5,0:58:05,7,-,9,-,M,-,5
10,Jessie H Van Zant,0:54:05,0,0:54:05,2,-,10,-,M,-,0
11,Arner Gustafason,0:54:19,3,0:57:19,6,-,11,-,M,-,3
12,James K Haney,0:54:48,0,0:54:48,3,-,12,-,M,-,0
13,Willie Dreyer,0:54:49,5,0:59:49,14,-,13,-,M,-,5
14,Charles W Collins,0:54:50,2,0:56:50,4,-,14,-,M,-,2
15,Dominic Stratta,0:55:20,14,1:09:20,40,-,15,-,M,-,14
16,Lynn F Ludlow,-,-,1:03:38,26,-,16,-,M,-,-
17,Arner J Stratta,-,-,1:07:42,36,-,17,-,M,-,-
18,Jack G Kirk,-,-,0:58:46,10,-,18,42,M,-,-
19,Allan Baffico,-,-,0:58:52,11,-,19,-,M,-,-
20,Rae Workman,-,-,0:52:02,-,-,20,-,M,-,-
21,Ernest Marinoni,-,-,1:00:45,16,-,21,-,M,-,-
22,Robert Seaman,-,-,1:03:28,25,-,22,-,M,-,-
23,Joe King,-,-,0:59:35,13,-,23,-,M,-,-
24,James Baggett,-,-,1:05:03,29,-,24,-,M,-,-
25,Arthur H Smith,-,-,1:05:08,30,-,25,-,M,-,-
26,John Holden,-,-,0:58:19,8,-,26,-,M,-,-
27,Merle Knox,-,-,0:58:24,9,-,27,-,M,-,-
28,Victor Duran,-,-,1:05:37,31,-,28,-,M,-,-
29,Al  Colon,-,-,1:05:45,32,-,29,-,M,-,-
30,Paul J Ganahl,-,-,1:03:19,23,-,30,-,M,-,-
31,Max Rosenfeld,-,-,1:03:23,24,-,31,-,M,-,-
32,Walter Bertram,-,-,1:03:38,27,-,32,-,M,-,-
33,Art  Baker,-,-,1:08:41,39,-,33,-,M,-,-
34,Andrew Baffico,-,-,1:02:44,21,-,34,-,M,-,-
35,Lester W Hink,-,-,1:11:07,44,-,35,-,M,-,-
36,B  E Garmire,-,-,1:06:53,34,-,36,-,M,-,-
37,Donald Chamberlin,-,-,1:12:55,50,-,37,-,M,-,-
38,W B Johnson,-,-,1:06:05,33,-,38,-,M,-,-
39,Ivan S Jackson,-,-,1:00:06,15,-,39,-,M,-,-
40,Dave Kidder,-,-,1:07:07,35,-,40,-,M,-,-
41,R W Menzies,-,-,1:11:23,45,-,41,-,M,-,-
42,Walter Boehm,-,-,1:02:39,20,-,42,-,M,-,-
43,Carlo Richesin,-,-,1:14:45,52,-,43,-,M,-,-
44,Walter Lester,-,-,1:10:51,43,-,44,-,M,-,-
45,C Takushi,-,-,1:08:01,37,-,45,-,M,-,-
46,Bob Hilliard,-,-,1:12:19,49,-,46,-,M,-,-
47,Herbert A Wright,-,-,1:08:12,38,-,47,-,M,-,-
48,Joe Cargiulo,-,-,1:13:55,51,-,48,-,M,-,-
49,William Donnelly,-,-,1:10:25,42,-,49,-,M,-,-
50,Peter Lucia,-,-,1:20:15,57,-,50,-,M,-,-
51,Frank Grundish,-,-,1:12:00,47,-,51,-,M,-,-
52,Fred Kline,-,-,1:10:04,41,-,52,-,M,-,-
53,W W Brown,-,-,1:19:09,55,-,53,-,M,-,-
54,Jimmy Richesin,-,-,1:17:41,54,-,54,-,M,-,-
55,Wilbur Taylor,-,-,1:19:42,56,-,55,-,M,-,-
56,Leo Karlhofer,-,-,1:23:01,62,-,56,-,M,-,-
57,Ed Fratini,-,-,1:23:34,63,-,57,-,M,-,-
58,Ted Takushi,-,-,1:12:14,48,-,58,-,M,-,-
59,George Miller,-,-,1:15:54,53,-,59,-,M,-,-
60,W O Johnson,-,-,1:27:06,64,-,60,-,M,-,-
61,W A Durnell,-,-,1:21:32,59,-,61,-,M,-,-
62,Marty R Norton,-,-,1:11:35,46,-,62,-,M,-,-
63,Howard Owings,-,-,1:20:37,58,-,63,-,M,-,-
64,Robert Trueman,-,-,1:22:26,61,-,64,-,M,-,-
65,Calvin Donlon,-,-,1:21:40,60,-,65,-,M,-,-
66,R E Marinoni,-,-,1:36:40,66,-,66,-,M,-,-
67,Willis Katka,-,-,1:36:17,65,-,67,-,M,-,-
68,G  Winslow,-,-,-,-,-,68,-,M,-,-
69,Salvatore Lucia,-,-,1:39:31,67,-,69,-,M,-,-
70,J McClymonds,-,-,-,-,-,70,-,M,-,-
71,John Holden,-,-,-,-,-,71,-,M,-,-
