place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Donald Dunn,0:46:36,6,0:52:36,-,-,-,-,M,-,6
2,Al Gorse,0:47:46,4,0:51:46,-,-,-,-,M,-,4
3,Mason Hartwell,0:47:56,0,0:47:56,-,-,-,-,M,-,0
4,Harold Beatty,0:48:06,5,0:53:06,-,-,-,-,M,-,5
5,Edison C Lloyd,0:49:22,7,0:55:22,-,-,-,-,M,-,7
6,George Branner,0:49:28,8,0:57:28,-,-,-,-,M,-,8
7,Oliver Millard,0:49:46,1,0:50:46,-,-,-,-,M,-,1
8,J Reading,0:49:47,6,0:55:47,-,-,-,-,M,-,6
9,Isaac Day,0:49:51,8,0:57:51,-,-,-,-,M,-,8
10,Charles Molinari,0:50:44,5,0:55:44,-,-,-,-,M,-,5
11,Hugo Rinehard,0:50:49,6,0:56:50,-,-,-,-,M,-,6
12,Charles Blakeley,0:51:03,7,0:58:08,-,-,-,-,M,-,7
13,F  Braclowski,0:51:17,8,0:59:17,-,-,-,-,M,-,8
14,Robert Howden,0:52:04,4,0:56:04,-,-,-,-,M,-,4
15,Pete Mason,0:52:03,5,0:57:03,-,-,-,-,M,-,5
16,Harold Curtin,0:52:20,7,0:59:20,-,-,-,-,M,-,7
17,Howard Woerner,0:52:25,7,0:59:25,-,-,-,-,M,-,7
18,Al Ghioran,0:52:33,5,0:57:33,-,-,-,-,M,-,5
19,W F Gabriel,0:52:34,6,0:58:34,-,-,-,-,M,-,6
20,E W Davis,0:52:35,5,0:57:35,-,-,-,-,M,-,5
21,William Howden,0:53:05,0.5,0:52:33,-,-,-,-,M,-,0.5
22,L H Day,0:53:10,6,0:59:10,-,-,-,-,M,-,6
23,W Barnes,0:53:30,5,0:58:30,-,-,-,-,M,-,5
24,A  Clabaigj,0:53:31,3,0:56:31,-,-,-,-,M,-,3
25,Jim Cole,0:53:34,7,1:00:34,-,-,-,-,M,-,7
26,William Reinhohn,0:53:45,3,0:56:45,-,-,-,-,M,-,3
27,Basil Spurr,0:53:49,3,0:56:49,-,-,-,-,M,-,3
28,Thomas Caffery,0:54:00,7,1:01:00,-,-,-,-,M,-,7
29,Charles J Holluber,0:54:05,5,0:59:03,-,-,-,-,M,-,5
30,W Archambailt,0:54:29,7,1:01:29,-,-,-,-,M,-,7
31,Henry Campbell,0:56:44,6,1:00:44,-,-,-,-,M,-,6
32,Edgar V Stout,0:54:47,3,0:57:47,-,-,-,-,M,-,3
33,J W Narrb,0:55:17,5,1:00:17,-,-,-,-,M,-,5
34,W J Havind,0:55:18,6,1:01:18,-,-,-,-,M,-,6
35,Jack Brandt,0:56:05,6,1:02:05,-,-,-,-,M,-,6
36,W O Johnson,0:56:07,5,1:01:07,-,-,-,-,M,-,5
37,E Cole,0:56:35,6,1:02:35,-,-,-,-,M,-,6
38,Donald Rosemuir,0:56:45,7,1:03:45,-,-,-,-,M,-,7
39,Harry Rimmer,0:56:37,6,1:02:37,-,-,-,-,M,-,6
40,A P Rhodrs Jr,0:56:38,6,1:02:38,-,-,-,-,M,-,6
41,W C Marshall,0:57:24,5,1:02:24,-,-,-,-,M,-,5
42,R  S Padea,0:57:31,6,0:53:31,-,-,-,-,M,-,6
43,George Collins,0:57:32,6,1:03:32,-,-,-,-,M,-,6
44,Frank Carey,0:57:30,5,1:02:30,-,-,-,-,M,-,5
45,F A Williamson,0:58:09,5,1:03:09,-,-,-,-,M,-,5
46,Floyd Van Tassel,0:58:07,5,1:03:07,-,-,-,-,M,-,5
47,H J Knobloch,0:55:23,5,1:03:23,-,-,-,-,M,-,5
48,William F Lenz,0:58:30,5,1:03:30,-,-,-,-,M,-,5
49,A M Behrendt,0:58:33,5,1:03:33,-,-,-,-,M,-,5
50,J Sheahas,0:58:35,6,1:04:35,-,-,-,-,M,-,6
51,N L Lonn,0:58:38,5,1:03:58,-,-,-,-,M,-,5
52,Charles P Rhodes,0:58:33,5,1:04:33,-,-,-,-,M,-,5
53,George Kammerer,0:59:34,5,1:04:34,-,-,-,-,M,-,5
54,Frank Kleckner,1:00:23,6,1:06:23,-,-,-,-,M,-,6
55,Pete M Griffith,1:00:46,5,1:05:46,-,-,-,-,M,-,5
56,H Woodsworth,1:00:37,6,1:06:37,-,-,-,-,M,-,6
57,S Catelli,1:00:38,6,1:06:38,-,-,-,-,M,-,6
58,Mason Jukieh,1:01:03,8,1:09:03,-,-,-,-,M,-,8
59,W Pitts,1:01:29,6,1:07:29,-,-,-,-,M,-,6
60,T  S Howella,1:01:28,6,1:08:28,-,-,-,-,M,-,6
61,F Zasazzi,1:01:39,6,1:07:39,-,-,-,-,M,-,6
62,W J Belford,1:01:49,5,1:06:49,-,-,-,-,M,-,5
63,H Seeboha,1:01:30,5,1:06:30,-,-,-,-,M,-,5
64,E H Warner,1:02:03,7,1:09:03,-,-,-,-,M,-,7
65,R W Leggett,1:02:23,4,1:06:23,-,-,-,-,M,-,4
66,M  Russell,1:02:24,6,1:08:24,-,-,-,-,M,-,6
67,Charles E Stickler,1:02:32,5,1:07:32,-,-,-,-,M,-,5
68,Joe Tracy,1:02:37,8,1:19:37,-,-,-,-,M,-,8
69,A Hutchfosco,1:03:44,7,1:10:44,-,-,-,-,M,-,7
70,S Levy,1:04:30,8,1:12:30,-,-,-,-,M,-,8
71,A Garcia,1:05:00,6,1:11:00,-,-,-,-,M,-,6
72,E Aitken,1:05:03,6,1:11:03,-,-,-,-,M,-,6
73,E Badgley,1:05:12,7,1:12:12,-,-,-,-,M,-,7
74,J A Rhodes,1:05:25,5,1:10:25,-,-,-,-,M,-,5
75,W Everrett,1:05:34,8,1:13:34,-,-,-,-,M,-,8
76,R J Barker Jr,1:06:11,5,1:11:11,-,-,-,-,M,-,5
77,R M Henderson,1:08:06,5,1:13:06,-,-,-,-,M,-,5
78,Chas Morris,1:08:20,7,1:13:20,-,-,-,-,M,-,7
79,O R James,1:08:47,5,1:13:47,-,-,-,-,M,-,5
80,A I  Sawyer,1:13:28,6,1:19:28,-,-,-,-,M,-,6
81,A Darkowta,1:13:29,8,1:21:29,-,-,-,-,M,-,8
