place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Mike Deasy,0:50:00,5,0:55:00,6,-,1,-,M,-,5
2,Jim Maddox,0:51:30,1,0:52:30,2,-,2,-,M,-,1
3,Gerald Joyner,0:51:32,3,0:54:32,4,-,3,-,M,-,3
4,John Reed,0:52:18,5,0:57:18,11,-,4,-,M,-,5
5,Wes Hildreth,0:51:58,3,0:54:58,5,-,5,-,M,-,3
6,Jack Marden,0:51:59,1,0:52:59,3,-,6,-,M,-,1
7,Wildred King,0:52:00,0,0:52:00,1,-,7,-,M,-,0
8,George Cagwin,0:52:27,12,1:04:27,28,-,8,-,M,-,12
9,Charles Curtis,0:52:37,3,0:55:37,7,-,9,-,M,-,3
10,William Ranney,0:53:44,6.5,1:00:14,15,-,10,-,M,-,6.5
11,Robert Price,0:54:01,3,0:57:01,9,-,11,-,M,-,3
12,Thomas Ryan,0:54:02,3,0:57:02,10,-,12,-,M,-,3
13,Walt Deike,0:56:13,0,0:56:13,8,-,13,-,M,-,0
14,Alan Mason,0:58:42,3,1:01:42,20,-,14,-,M,-,3
15,William (Bill) Ferlatte,0:56:48,5,1:01:48,22,-,15,16,M,-,5
16,Darryl Beardall,0:56:48,1,0:57:48,12,-,16,-,M,-,1
17,Dick Moelleri,0:57:00,3,1:00:00,13,-,17,-,M,-,3
18,Gordon Waldo,0:57:04,5,1:02:04,24,-,18,-,M,-,5
19,Joe King,0:57:07,3,1:00:07,14,-,19,-,M,-,3
20,Jack G Kirk,0:57:44,3,1:00:44,16,-,20,51,M,-,3
21,Craig Spilman,0:57:46,3,1:00:46,17,-,21,-,M,-,3
22,Charles Lucas,0:57:55,3,1:00:55,18,-,22,-,M,-,3
23,Joseph Mitchell,0:57:57,5.5,1:03:27,26,-,23,-,M,-,5.5
24,Jim Imperiale,0:58:58,15,1:13:58,40,-,24,-,M,-,15
25,Arner Gustafson,0:58:38,3,1:01:38,19,-,25,-,M,-,3
26,Val Prescop,0:58:46,3,1:01:46,21,-,26,-,M,-,3
27,Flavio Madariaga,0:58:54,3,1:01:54,23,-,27,-,M,-,3
28,Rene Regalot,0:59:14,3,1:02:14,25,-,28,-,M,-,3
29,Fred Mahannah,0:59:18,5,1:04:18,27,-,29,-,M,-,5
30,Geoff Averill,0:59:30,5,1:04:30,29,-,30,-,M,-,5
31,Pat Van Noy,1:01:17,12,1:13:17,39,-,31,-,M,-,12
32,Ran Mahannah,1:01:47,3,1:04:47,30,-,32,-,M,-,3
33,John Satti,1:01:47,3,1:04:47,31,-,33,-,M,-,3
34,Victor Duran,1:02:15,6,1:08:15,32,-,34,-,M,-,6
35,Mike Murata,1:05:27,5,1:10:27,35,-,35,-,M,-,5
36,David Ham,1:05:34,3,1:08:34,33,-,36,-,M,-,3
37,Geoffrey Wade,1:06:23,3,1:09:23,34,-,37,-,M,-,3
38,Fred Baer,1:08:25,3,1:11:25,38,-,38,-,M,-,3
39,Thomas Scott,1:15:25,6.5,1:21:55,44,-,39,-,M,-,6.5
40,Gary Hearhart,1:13:02,5,1:18:02,41,-,40,-,M,-,5
41,James Lominga,1:13:17,10,1:23:17,45,-,41,-,M,-,10
42,Alan Beardall,1:05:46,5,1:10:46,37,-,42,-,M,-,5
43,Frank Veloz,1:15:12,5.5,1:20:42,42,-,43,-,M,-,5.5
44,Victor Manni,1:07:45,3,1:10:45,36,-,44,-,M,-,3
45,Armando Alvarez,1:15:46,5,1:20:46,43,-,45,-,M,-,5
46,William Weems,1:24:10,5,1:29:10,46,-,46,-,M,-,5
47,Salvatore Lucia,1:32:17,15,1:47:17,47,-,47,-,M,-,15
