place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Lloyd J Newman,0:45:01,8,0:53:01,-,-,1,-,M,-,8
2,Andy Myrra,0:45:07,10,0:55:07,-,-,2,-,M,-,10
3,John Cunningham,0:45:54,9,0:54:54,-,-,3,-,M,-,9
4,T DeMartini,0:46:48,10,0:56:48,-,-,4,-,M,-,10
5,Otto Mackoto,0:47:45,9,0:56:45,-,-,5,-,M,-,9
6,Mason Hartwell,0:48:23,4.5,0:52:53,-,-,6,-,M,-,4.5
7,Charles Helganz,0:49:36,6,0:55:36,-,-,7,-,M,-,6
8,Milton Maata,0:49:48,7,0:56:48,-,-,8,-,M,-,7
9,Uno Tiensuu,0:50:09,8.5,0:58:39,-,-,9,-,M,-,8.5
10,Angelo Pampa,0:50:35,8,0:58:35,-,-,10,-,M,-,8
11,Albert Tiensuu,0:50:54,8.5,0:59:24,-,-,11,-,M,-,8.5
12,Joseph Mancuso,0:51:24,10,1:01:24,-,-,12,-,M,-,10
13,Edward Ardoin,0:51:39,6,0:57:39,-,-,13,-,M,-,6
14,Frank Sutcliffe,0:51:49,1.5,0:53:19,-,-,14,-,M,-,1.5
15,Richard Davis,0:52:18,8,1:00:18,-,-,15,-,M,-,8
16,Willis Magner,0:52:20,2,0:54:20,-,-,16,-,M,-,2
17,William Johnson,0:52:26,9,1:01:26,-,-,17,-,M,-,9
18,Jack Strauss,0:52:45,8,1:00:45,-,-,18,-,M,-,8
19,Harry Hooker,0:52:54,7,0:59:54,-,-,19,-,M,-,7
20,Charles Neukirch,0:53:00,3.5,0:55:30,-,-,20,-,M,-,3.5
21,James Tobs,0:53:17,10,1:03:17,-,-,21,-,M,-,10
22,John Ardizzone,0:53:20,6,0:59:20,-,-,22,-,M,-,6
23,George Dall,0:53:24,10,1:03:24,-,-,23,-,M,-,10
24,David Stratts,0:53:38,4,0:57:38,-,-,24,-,M,-,4
25,B Carrara,0:54:04,10,1:04:04,-,-,25,-,M,-,10
26,Leo Scott,0:54:04,4,0:58:04,-,-,26,-,M,-,4
27,Charles Ludekens,0:54:17,3,0:57:17,-,-,27,-,M,-,3
28,John Cameroa,0:54:02,4.5,0:58:32,-,-,28,-,M,-,4.5
29,Jack Cassidy,0:54:50,0,0:54:50,-,-,29,-,M,-,0
30,T Napolantine,0:54:33,10,1:04:33,-,-,30,-,M,-,10
31,Donald Arndt,0:55:12,7,1:02:12,-,-,31,-,M,-,7
32,Emij Heino,0:55:46,10,1:05:46,-,-,32,-,M,-,10
33,Alex Smith,0:56:01,8,1:04:01,-,-,33,-,M,-,8
34,rthur Mitebell,0:56:13,8,1:04:13,-,-,34,-,M,-,8
35,Frank Voss,0:56:28,8,1:04:28,-,-,35,-,M,-,8
36,William Haavend,0:56:32,10,1:06:32,-,-,36,-,M,-,10
37,E Tamiander,0:56:34,4.5,1:01:04,-,-,37,-,M,-,4.5
38,William Schwartz,0:57:03,5,1:02:03,-,-,38,-,M,-,5
39,Burwal Les,0:57:34,8,1:05:34,-,-,39,-,M,-,8
40,Arthur Boriand,1:00:19,8,1:08:19,-,-,40,-,M,-,8
41,Viscrat Soso,0:58:08,1.5,0:59:38,-,-,41,-,M,-,1.5
42,Edward Sbay,1:00:50,8,1:08:50,-,-,42,-,M,-,8
43,Berger Gerson,1:00:03,8,1:08:03,-,-,43,-,M,-,8
44,Gunnar Sadar,1:02:33,8,1:10:33,-,-,44,-,M,-,8
45,Vletor Yamakawa,1:04:11,8,1:12:11,-,-,45,-,M,-,8
46,Oie Oreson,1:06:27,8,1:14:27,-,-,46,-,M,-,8
47,Les Huber,1:07:32,8,1:15:52,-,-,47,-,M,-,8
48,Peter Maya,1:07:36,8,-,-,-,48,-,M,-,8
49,William G Taylor,1:15:40,8,1:23:40,-,-,49,-,M,-,8
