place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Percy Gilbert,0:47:26,8.5,0:55:56,-,-,-,-,M,-,8.5
2,Clifford J Carroll,0:47:57,9.5,0:57:27,-,-,-,-,M,-,9.5
3,Lane McMillan,0:47:58,9,0:56:58,-,-,-,-,M,-,9
4,Hugh O'Neill,0:48:16,7.5,0:55:46,-,-,-,-,M,-,7.5
5,Bruno Saredio,0:48:48,9,0:57:48,-,-,-,-,M,-,9
6,Ray Locke,0:48:57,10,0:58:57,-,-,-,-,M,-,10
7,Al Washauer,0:50:43,5.25,0:55:58,-,-,-,-,M,-,5.2
8,John Mauras,0:50:47,7,0:57:47,-,-,-,-,M,-,7
9,Al Perfoss,0:50:59,5,0:55:59,-,-,-,-,M,-,5
10,Ralph Ebner,0:51:04,9,1:00:04,-,-,-,-,M,-,9
11,Camilo Caldera,0:51:31,9,1:00:31,-,-,-,-,M,-,9
12,Albert Miller,0:51:32,7.5,0:59:02,-,-,-,-,M,-,7.5
13,George Wellington,0:52:04,7,0:59:04,-,-,-,-,M,-,7
14,William Howden,0:52:08,2.5,0:54:38,-,-,-,-,M,-,2.5
15,I Lininger,0:52:38,8.5,1:01:08,-,-,-,-,M,-,8.5
16,William S Johnstone,0:52:46,10,1:02:46,-,-,-,-,M,-,10
17,Harry Ludwig,0:53:01,2,0:55:01,-,-,-,-,M,-,2
18,M E Keinmerle,0:53:00,8.5,1:01:30,-,-,-,-,M,-,8.5
19,Andrew Ahern,0:52:34,7.5,1:00:04,-,-,-,-,M,-,7.5
20,Philip Lopez,0:53:06,5,0:58:06,-,-,-,-,M,-,5
21,Charles Hunter,0:53:38,2.5,0:56:08,-,-,-,-,M,-,2.5
22,S Hendrickson,0:53:42,9,1:02:42,-,-,-,-,M,-,9
23,William Crockett,0:53:45,7,1:00:45,-,-,-,-,M,-,7
24,Jacob H Weingart,0:53:46,10,1:03:46,-,-,-,-,M,-,10
25,Albert Pinther,0:54:14,7,1:01:14,-,-,-,-,M,-,7
26,Basil Spurr,0:54:32,5,0:59:32,-,-,-,-,M,-,5
27,J Stagiand,0:55:07,10,1:05:07,-,-,-,-,M,-,10
28,Natale Fiora,0:55:44,7,1:02:44,-,-,-,-,M,-,7
29,W  Turnere,0:55:47,9,1:04:47,-,-,-,-,M,-,9
30,James Woodside,0:56:11,6,1:02:11,-,-,-,-,M,-,6
31,J Winsor,0:56:16,5.5,1:01:46,-,-,-,-,M,-,5.5
32,Harry Michel,0:56:18,10,1:06:18,-,-,-,-,M,-,10
33,R W Bialsdell,0:56:53,9,1:05:53,-,-,-,-,M,-,9
34,M Buttery,0:56:55,9.25,1:06:10,-,-,-,-,M,-,9.2
35,E P Jacobson,0:57:03,8,1:05:03,-,-,-,-,M,-,8
36,W J Haarind,0:57:18,10,1:07:18,-,-,-,-,M,-,10
37,W J Callahan,0:57:30,9,1:06:30,-,-,-,-,M,-,9
38,George B Sworisguer,0:57:31,9,1:06:31,-,-,-,-,M,-,9
39,Emill Lachauatra,0:57:40,10,1:07:40,-,-,-,-,M,-,10
40,M H Roach,0:55:21,6.25,1:01:36,-,-,-,-,M,-,6.2
41,R Luckow Jr,0:58:34,9,1:07:34,-,-,-,-,M,-,9
42,Adolph Tincornis,0:58:35,8.5,1:07:05,-,-,-,-,M,-,8.5
43,J Hartmand,0:58:34,10,1:08:34,-,-,-,-,M,-,10
44,Walter Klewe,0:59:07,8.5,1:07:37,-,-,-,-,M,-,8.5
45,Fred Gale,0:59:50,8,1:07:50,-,-,-,-,M,-,8
46,S Salomon,0:59:53,8.5,1:08:23,-,-,-,-,M,-,8.5
47,Richard Lowry,0:59:54,9,1:08:54,-,-,-,-,M,-,9
48,William Lundahl,0:59:55,9,1:08:55,-,-,-,-,M,-,9
49,Isaac C Day,1:00:07,10,1:10:07,-,-,-,-,M,-,10
50,Henry Domeniconi,1:00:43,9,1:09:43,-,-,-,-,M,-,9
51,W C Scharfstein,1:00:58,10,1:10:58,-,-,-,-,M,-,10
52,W Taylor,0:52:03,8.5,1:00:33,-,-,-,-,M,-,8.5
53,Fred Krieg,1:01:43,9,1:10:43,-,-,-,-,M,-,9
54,T E Murphy,1:01:51,10,1:11:51,-,-,-,-,M,-,10
55,Clinton F Marshall,1:02:05,9,1:11:05,-,-,-,-,M,-,9
56,Lyman Coyne,1:02:22,8,1:10:22,-,-,-,-,M,-,8
57,Fred Murphy,1:02:26,8,1:10:26,-,-,-,-,M,-,8
58,Jack B Steele,1:02:34,9,1:11:34,-,-,-,-,M,-,9
59,P C Gerbardt,1:02:44,7.5,1:10:14,-,-,-,-,M,-,7.5
60,Ben F Garcia,1:02:49,8.5,1:11:19,-,-,-,-,M,-,8.5
61,S S Roneu,1:02:54,10,1:12:54,-,-,-,-,M,-,10
62,R J Gracey,1:03:03,9,1:12:03,-,-,-,-,M,-,9
63,Felix Eber,1:03:11,9,1:12:11,-,-,-,-,M,-,9
64,George McCarthy,1:03:33,9,1:12:33,-,-,-,-,M,-,9
65,H M Lovett,1:03:36,8.5,1:12:06,-,-,-,-,M,-,8.5
66,Ray L Orwig,1:04:02,9,1:13:02,-,-,-,-,M,-,9
67,William Heider Jr,1:01:05,10,1:11:05,-,-,-,-,M,-,10
68,H Van Heyst,1:04:54,9,1:13:54,-,-,-,-,M,-,9
69,Lewis MacFarland,1:04:58,10,1:14:58,-,-,-,-,M,-,10
70,Albert F Fleming,1:06:34,10,1:16:34,-,-,-,-,M,-,10
71,Clifford Smith,1:07:10,9,1:16:10,-,-,-,-,M,-,9
72,Adolph Starke,1:08:21,9,1:17:21,-,-,-,-,M,-,9
73,Elmer Sprague,1:08:23,9,1:17:23,-,-,-,-,M,-,9
74,W H Dabei,1:08:24,8.5,1:16:54,-,-,-,-,M,-,8.5
75,A Janovitz,1:08:28,9,1:17:28,-,-,-,-,M,-,9
76,Leo Duffy,1:09:56,9,1:18:56,-,-,-,-,M,-,9
77,F O Andres,1:10:56,9,1:19:56,-,-,-,-,M,-,9
78,J W Collenburg,1:11:08,8.5,1:19:38,-,-,-,-,M,-,8.5
79,W A La Violette,1:11:54,8.5,1:20:24,-,-,-,-,M,-,8.5
80,A BermerW,1:13:58,10,1:23:58,-,-,-,-,M,-,10
