place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Francis O'Donnell,0:46:00,6,0:52:00,4,-,1,-,M,-,6
2,A Motioni,0:46:30,9,0:55:30,13,-,2,-,M,-,9
3,George Wilson,0:48:21,8,0:56:21,18,-,3,-,M,-,8
4,Steve Ehret,0:48:30,8,0:56:30,19,-,4,-,M,-,8
5,Neil Decker,0:48:39,5.5,0:54:09,8,-,5,-,M,-,5.5
6,Charles Ludekins,0:48:49,10,0:58:49,25,-,6,-,M,-,10
7,Alberto Buselli,0:48:50,6.5,0:55:20,12,-,7,-,M,-,6.5
8,Walter Sarlin,0:48:51,4,0:52:51,6,-,8,-,M,-,4
9,Amerigo Mericone,0:49:09,7.5,0:56:39,20,-,9,-,M,-,7.5
10,Bill Pappas,0:43:10,7.5,0:50:40,1,-,10,-,M,-,7.5
11,Wayne Morefield,0:49:28,5,0:54:28,9,-,11,-,M,-,5
12,Phil Knox,0:51:31,4,0:55:31,14,-,12,-,M,-,4
13,Peter Lucio,0:49:56,7.5,0:57:26,24,-,13,-,M,-,7.5
14,Andy Myrra,0:49:04,3.5,0:52:34,5,-,14,-,M,-,3.5
15,George Dagnina,0:50:34,9,0:59:34,27,-,15,-,M,-,9
16,A Roncone,0:50:47,4.5,0:55:17,11,-,16,-,M,-,4.5
17,Jack G Kirk,0:50:54,0,0:50:54,2,-,17,25,M,-,0
18,John Nyman,0:50:59,5,0:55:59,17,-,18,-,M,-,5
19,Carl Newkirk,0:51:11,5.5,0:56:41,21,-,19,-,M,-,5.5
20,Edward Fratini,0:51:21,10,1:01:21,29,-,20,-,M,-,10
21,William Fraser,0:51:24,0,0:51:24,3,-,21,-,M,-,0
22,Jack Brown,0:52:09,5,0:57:09,22,-,22,-,M,-,5
23,Joe Estep,0:52:11,5,0:57:11,23,-,23,-,M,-,5
24,Ray Cocking,0:52:04,2.5,0:54:34,10,-,24,-,M,-,2.5
25,Albert  Roth,0:52:15,10,1:02:15,32,-,25,-,M,-,10
26,Nero Cavaliera,0:56:16,3,0:59:16,26,-,26,-,M,-,3
27,Ernest de Lisle,0:49:19,4,0:53:19,7,-,27,-,M,-,4
28,Togga Ogata,0:54:21,8,1:02:21,34,-,28,-,M,-,8
29,Edward Thall,0:53:45,8,1:01:45,31,-,29,-,M,-,8
30,Harry Carter,0:53:33,2,0:55:33,15,-,30,-,M,-,2
31,Frank Voss,0:54:01,8.5,1:02:31,35,-,31,-,M,-,8.5
32,Steve Safini,0:54:22,7,1:01:22,30,-,32,-,M,-,7
33,Don Arndt,0:54:48,7.5,1:02:18,33,-,33,-,M,-,7.5
34,Edward Byrne,0:54:50,10,1:04:50,41,-,34,-,M,-,10
35,Loren Todd,1:00:19,5,1:05:19,42,-,35,-,M,-,5
36,R  L Davis,0:55:47,0,0:55:47,16,-,36,-,M,-,0
37,V Yamakawa,0:55:48,10,1:05:48,43,-,37,-,M,-,10
38,E Mustante,0:55:53,10,1:05:53,44,-,38,-,M,-,10
39,F Sutliffe,0:56:33,3.5,1:00:03,28,-,39,-,M,-,3.5
40,J L Henry,0:56:45,7,1:03:45,37,-,40,-,M,-,7
41,George Morse,0:56:55,7,1:03:55,39,-,41,-,M,-,7
42,Arthur Ortis,0:58:05,8,1:06:05,45,-,42,-,M,-,8
43,Tony Roberts,0:56:45,7,1:03:45,38,-,43,-,M,-,7
44,Jack Kecgan,0:58:48,4.5,1:03:18,36,-,44,-,M,-,4.5
45,Leroy Beatty,0:58:59,10,1:08:59,47,-,45,-,M,-,10
46,Jim Hashimoto,0:59:01,10,1:09:01,48,-,46,-,M,-,10
47,Wilbur Taylor,0:59:08,10,1:09:08,49,-,47,-,M,-,10
48,Al Molina,0:59:36,5,1:04:36,40,-,48,-,M,-,5
49,Hugh Stenson,0:59:33,7,1:06:33,46,-,49,-,M,-,7
50,W W Barry,0:59:36,10,1:09:36,50,-,50,-,M,-,10
