place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,William Fraser,0:48:48,10,0:58:48,-,-,1,-,M,-,10
2,Andy Myyra,0:49:03,4,0:53:03,-,-,2,-,M,-,4
3,Albert Tiensuu,0:49:33,10,0:59:33,-,-,3,-,M,-,10
4,Jack Cassidy,0:50:08,3,0:53:08,-,-,4,-,M,-,3
5,E Tamlander,0:50:11,7,0:57:11,-,-,5,-,M,-,7
6,Frank Sutcliffe,0:50:31,3.5,0:54:01,-,-,6,-,M,-,3.5
7,Uno Tiensuu,0:50:51,8.5,0:59:21,-,-,7,-,M,-,8.5
8,Roland Eisman,0:50:53,10,1:00:53,-,-,8,-,M,-,10
9,John Shearn,0:51:42,2.5,0:54:12,-,-,9,-,M,-,2.5
10,Steve Ehret,0:51:45,10,1:01:45,-,-,10,-,M,-,10
11,E Heino,0:51:50,10,1:01:50,-,-,11,-,M,-,10
12,William Pappas,1:01:59,6,1:07:59,-,-,12,-,M,-,6
13,William O Johnson,0:52:05,10,1:02:05,-,-,13,-,M,-,10
14,Ed Ardoin,0:52:37,7,0:59:37,-,-,14,-,M,-,7
15,Victor Yamaawa,0:52:41,10,1:02:41,-,-,15,-,M,-,10
16,John Cameron,0:52:58,7,0:59:58,-,-,16,-,M,-,7
17,William Mazner,0:53:09,3.5,0:56:39,-,-,17,-,M,-,3.5
18,Milton Matta,0:53:11,7,1:00:11,-,-,18,-,M,-,7
19,O Ludekens,0:53:50,10,1:03:50,-,-,19,-,M,-,10
20,J Mancuso,0:54:46,10,1:04:46,-,-,20,-,M,-,10
21,George Scott,0:54:56,5.5,1:00:26,-,-,21,-,M,-,5.5
22,William Westergurd,0:55:08,1,0:56:08,-,-,22,-,M,-,1
23,Cecil Pierce,0:55:05,9,1:04:05,-,-,23,-,M,-,9
24,Donald Arndt,0:55:12,10,1:05:12,-,-,24,-,M,-,10
25,Otto Machatto,0:54:15,8,1:02:15,-,-,25,-,M,-,8
26,Frank Voss,0:55:45,10,1:05:45,-,-,26,-,M,-,10
27,Roland L Davis,0:57:40,5.5,1:03:10,-,-,27,-,M,-,5.5
28,Stanley Whitlock,0:59:11,6,1:05:11,-,-,28,-,M,-,6
29,Vin Goze,1:05:48,2.5,1:08:18,-,-,29,-,M,-,2.5
30,James Toba,1:01:46,10,1:11:46,-,-,30,-,M,-,10
31,John Iobia,1:03:89,10,1:13:89,-,-,31,-,M,-,10
32,Victor Sagnes,1:03:59,6,1:09:59,-,-,32,-,M,-,6
33,George Gill,1:05:00,10,1:15:00,-,-,33,-,M,-,10
34,Albert Mendoza,1:04:18,8,1:12:18,-,-,34,-,M,-,8
35,Harvey Millern,1:06:18,6,1:12:18,-,-,35,-,M,-,6
36,Raymond Schmidt,1:08:32,8.5,1:17:02,-,-,36,-,M,-,8.5
37,J Giorganouse,1:12:31,5.5,1:18:01,-,-,37,-,M,-,5.5
38,Clarence Newall,1:14:10,10,1:24:10,-,-,38,-,M,-,10
39,William Mahond,1:20:00,9,1:29:00,-,-,39,-,M,-,9
