place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
0,L Blackwell,0:58:27,3.75,1:01:12,-,-,-,-,M,-,3.7
1,Mason Hartwell,0:51:39,0,0:51:39,-,-,-,-,M,-,0
2,Oliver Millard,0:54:27,0,0:54:27,-,-,-,-,M,-,0
3,Victor H Chapman,0:56:27,7,1:03:27,-,-,-,-,M,-,7
4,William Howden,0:56:51,2,0:58:51,-,-,-,-,M,-,2
5,James A Woodside,0:57:03,5,1:02:03,-,-,-,-,M,-,5
6,Philip Lopez,0:57:15,8,1:05:15,-,-,-,-,M,-,8
7,Richard Denton,0:58:39,8,1:06:39,-,-,-,-,M,-,8
8,Edgar Jacobson,1:00:08,9,1:09:08,-,-,-,-,M,-,9
9,James Mauras,1:00:15,7.5,1:07:45,-,-,-,-,M,-,7.5
10,Martin Kemmerle,1:00:54,8,1:08:54,-,-,-,-,M,-,8
11,Robert B Golding,1:01:15,8,1:09:15,-,-,-,-,M,-,8
12,Fred Knack,1:01:38,8,1:09:38,-,-,-,-,M,-,8
13,Maurice H Roach,1:01:58,6,1:07:58,-,-,-,-,M,-,6
14,Howard Miller,1:01:18,5.5,1:07:43,-,-,-,-,M,-,5.5
15,F W Kappelman,1:02:52,8,1:10:52,-,-,-,-,M,-,8
16,J  H Fuller,1:03:17,4.5,1:07:47,-,-,-,-,M,-,4.5
17,J A White,1:03:28,7.5,1:10:58,-,-,-,-,M,-,7.5
18,W G Taylor,1:03:52,7,1:10:52,-,-,-,-,M,-,7
19,R Grosswird,1:04:11,10,1:14:11,-,-,-,-,M,-,10
20,I  H Johnson,1:04:24,6.75,1:11:09,-,-,-,-,M,-,6.7
21,P M Griffith,1:04:36,8,1:12:36,-,-,-,-,M,-,8
22,F S Farmer,1:04:46,6,1:10:46,-,-,-,-,M,-,6
23,C Bocchio,1:04:47,4.5,1:09:17,-,-,-,-,M,-,4.5
24,E Cryer,1:05:01,7.5,1:12:81,-,-,-,-,M,-,7.5
25,J Lobig,1:05:02,8,1:12:02,-,-,-,-,M,-,8
26,A Lammoureux,1:06:20,7,1:13:20,-,-,-,-,M,-,7
27,R Lowry,1:07:29,7,1:14:29,-,-,-,-,M,-,7
28,A M Pertosa,1:07:36,4,1:11:36,-,-,-,-,M,-,4
29,R Gracey,1:06:13,10,1:16:13,-,-,-,-,M,-,10
30,A Pinther,1:08:18,5.5,1:13:48,-,-,-,-,M,-,5.5
31,W  Andrews,1:09:14,8,1:17:14,-,-,-,-,M,-,8
32,B M Cole,1:09:27,8,1:17:27,-,-,-,-,M,-,8
33,J B Steele,1:09:54,9,1:18:54,-,-,-,-,M,-,9
34,W J Hasvind,1:10:01,30,1:30:01,-,-,-,-,M,-,30
35,J Morrison,1:10:15,8,1:18:15,-,-,-,-,M,-,8
36,F S McWilliams,1:10:19,10,1:20:19,-,-,-,-,M,-,10
37,Howard Freed,1:10:33,7,1:17:33,-,-,-,-,M,-,7
38,W Scharfsteis,1:10:42,7,1:17:42,-,-,-,-,M,-,7
39,S Deal,1:10:46,7,1:17:46,-,-,-,-,M,-,7
40,F S Thompson,1:11:29,8,1:20:39,-,-,-,-,M,-,8
41,A Ahern,1:11:48,7.5,1:19:28,-,-,-,-,M,-,7.5
42,R J Hausmann,1:12:87,9,1:21:87,-,-,-,-,M,-,9
43,S Heard,1:13:16,8,1:21:16,-,-,-,-,M,-,8
44,R Biaisdell,1:14:19,7,1:21:19,-,-,-,-,M,-,7
45,C Marshall,1:14:47,7,1:21:67,-,-,-,-,M,-,7
46,W Krauter,1:15:35,9,1:34:35,-,-,-,-,M,-,9
47,B Kales,1:16:18,7.5,1:23:48,-,-,-,-,M,-,7.5
48,W  F ?,1:16:35,8,1:24:25,-,-,-,-,M,-,8
49,E Steinmeyer,1:17:38,7.5,1:24:08,-,-,-,-,M,-,7.5
50,W O Angermsend,1:18:14,7,1:25:14,-,-,-,-,M,-,7
51,N F Lorensen,1:18:18,10,1:28:18,-,-,-,-,M,-,10
52,R S Robbins Sr,1:18:40,5,1:23:40,-,-,-,-,M,-,5
53,A Mathews,1:19:20,7,1:26:20,-,-,-,-,M,-,7
54,S Regan,1:22:59,7,1:29:59,-,-,-,-,M,-,7
55,L McMillan,1:22:52,6.5,1:29:22,-,-,-,-,M,-,6.5
56,C Pigtie,1:23:12,1,1:22:12,-,-,-,-,M,-,1
57,D R Lawier,1:24:28,8,1:32:28,-,-,-,-,M,-,8
58,A Smith,1:25:15,10,1:35:15,-,-,-,-,M,-,10
59,F Winterberg,1:25:20,7.5,1:32:50,-,-,-,-,M,-,7.5
60,P Kowlaski,1:25:36,8,1:33:36,-,-,-,-,M,-,8
61,F M Wolf,1:25:37,7,1:32:37,-,-,-,-,M,-,7
62,S List,1:28:47,5,1:28:47,-,-,-,-,M,-,5
63,A A Keller,1:30:36,7,1:37:36,-,-,-,-,M,-,7
64,W J Postel,1:34:02,10,1:44:02,-,-,-,-,M,-,10
65,S Heider,1:35:17,6,1:41:17,-,-,-,-,M,-,6
66,H A Anderm,1:41:27,5.5,1:45:57,-,-,-,-,M,-,5.5
67,C Deets,1:50:05,9,1:59:05,-,-,-,-,M,-,9
