place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,Allan Nelson,0:45:21,10,0:55:21,10,-,1,-,M,-,10
2,Neil Decker,0:45:41,10,0:55:41,11,-,2,-,M,-,10
3,Herb Wright,0:45:51,10,0:55:51,13,-,3,-,M,-,10
4,Arnold Scott,0:48:20,7.5,0:55:50,12,-,4,-,M,-,7.5
5,Loren McIntyre,0:48:30,2.5,0:51:00,3,-,5,-,M,-,2.5
6,Pete Zink Jr,0:48:41,7.5,0:56:11,14,-,6,-,M,-,7.5
7,Bill McCurdy,0:48:45,4.5,0:53:15,5,-,7,-,M,-,4.5
8,George Wilson,0:49:09,4.5,0:53:39,6,-,8,-,M,-,4.5
9,Don Torrenga,0:49:34,10,0:59:34,21,-,9,-,M,-,10
10,Clarence Hall,0:49:35,1,0:50:35,1,-,10,-,M,-,1
11,J  Lakegaard,0:49:51,10,0:59:51,22,-,11,-,M,-,10
12,Ted Vollmer,0:50:36,0,0:50:36,2,-,12,-,M,-,0
13,A  Lundlam,-,-,0:58:00,17,-,13,-,M,-,-
14,A Handley,-,-,0:55:20,9,-,14,-,M,-,-
15,Earl Accvas,-,-,0:53:55,7,-,15,-,M,-,-
16,Hansen,-,-,0:58:30,19,-,16,-,M,-,-
17,A Pelleritti,-,-,0:59:03,20,-,17,-,M,-,-
18,Leo Karlhofer,-,-,0:51:35,4,-,18,-,M,-,-
19,Jack G Kirk,-,-,0:57:39,16,-,19,33,M,-,-
20,A Savedra,-,-,0:55:14,8,-,20,-,M,-,-
21,Leland Smith,-,-,0:57:35,15,-,21,-,M,-,-
22,Tommy Loughran,-,-,1:00:39,23,-,22,-,M,-,-
23,Bill Mazzini,-,-,0:58:25,18,-,23,-,M,-,-
24,Bill Peters,-,-,1:07:05,29,-,24,-,M,-,-
25,L Vasques,-,-,1:09:07,30,-,25,-,M,-,-
26,George Golough,-,-,1:05:09,25,-,26,-,M,-,-
27,W Yalor,-,-,1:06:01,27,-,27,-,M,-,-
28,Earl Marianoni,-,-,1:06:43,28,-,28,-,M,-,-
29,First Name Lara,-,-,1:04:17,24,-,29,-,M,-,-
30,M Buttery,-,-,1:09:51,32,-,30,-,M,-,-
31,Earl Ardoin,-,-,1:12:11,34,-,31,-,M,-,-
32,S Rosen,-,-,1:17:14,35,-,32,-,M,-,-
33,H Primbach,-,-,1:09:49,31,-,33,-,M,-,-
34,Bruce Rich,-,-,1:05:18,26,-,34,-,M,-,-
35,Calrence Stromberg,-,-,1:10:51,33,-,35,-,M,-,-
36,L Kaiser,-,-,1:18:44,38,-,36,-,M,-,-
37,A Raabb,-,-,1:18:01,36,-,37,-,M,-,-
38,Jack Bogan,-,-,1:18:35,37,-,38,-,M,-,-
39,W Sarlin,-,-,1:25:00,39,-,39,-,M,-,-
