place_overall,name,clock_time,head_start,actual_time,time_place,race,race_place,age,sex,bib,group
1,William Joyner,0:40:35,15,0:55:35,-,-,-,-,M,-,15
2,Frank Bartosh,0:41:00,14,0:55:00,-,-,-,-,M,-,14
3,Robert Howden,0:41:20,15,0:56:20,-,-,-,-,M,-,15
4,Frank Kispert,0:42:10,15,0:57:10,-,-,-,-,M,-,15
5,Ed Hartley,0:42:35,15,0:57:35,-,-,-,-,M,-,15
6,A D Codington,0:47:17,15,1:02:17,-,-,-,-,M,-,15
7,S V Connolly,0:47:32,15,1:02:32,-,-,-,-,M,-,15
8,F Coffey,0:47:35,15,1:02:35,-,-,-,-,M,-,15
9,C Fisk,0:47:55,15,1:02:55,-,-,-,-,M,-,15
10,M Hartman,0:48:33,13,1:01:33,-,-,-,-,M,-,13
11,F D Fuller,0:48:56,15,1:03:56,-,-,-,-,M,-,15
12,Otto Boeddiker,0:49:05,4.5,0:53:35,-,-,-,-,M,-,4.5
13,L Logan,0:49:12,15,1:04:12,-,-,-,-,M,-,15
14,Otto Tretten,0:50:03,15,1:05:03,-,-,-,-,M,-,15
15,William Moir,0:50:39,5,0:55:39,-,-,-,-,M,-,5
16,A Manerhan,0:50:55,15,1:05:55,-,-,-,-,M,-,15
17,T Cone,0:51:09,15,1:06:09,-,-,-,-,M,-,15
18,W Barry,0:52:05,15,1:07:05,-,-,-,-,M,-,15
19,W J Waters,0:52:36,7,0:59:36,-,-,-,-,M,-,7
20,C Stafford,0:52:42,15,1:07:42,-,-,-,-,M,-,15
21,T Cushing,0:52:54,7,0:59:54,-,-,-,-,M,-,7
22,V K Horton,0:53:03,15,1:08:03,-,-,-,-,M,-,15
23,F Codington,0:53:54,15,1:08:54,-,-,-,-,M,-,15
24,L Watter,0:53:58,15,1:08:58,-,-,-,-,M,-,15
25,F Cuthbertson,0:53:59,12,1:05:59,-,-,-,-,M,-,12
26,George Mesgher,0:54:01,15,1:09:01,-,-,-,-,M,-,15
27,J G Wilkins,0:54:06,8,1:02:06,-,-,-,-,M,-,8
28,J C Watern,0:54:12,10.5,1:04:42,-,-,-,-,M,-,10.
29,B Cowen,0:54:30,15,1:09:30,-,-,-,-,M,-,15
30,W F DeWitt,0:55:03,15,1:10:03,-,-,-,-,M,-,15
31,J G Hassard,0:56:54,0,0:56:54,-,-,-,-,M,-,0
32,F CiffF,0:57:14,15,1:12:14,-,-,-,-,M,-,15
33,H Johnson,0:59:47,15,1:14:47,-,-,-,-,M,-,15
34,W A Cox,1:01:13,12,1:13:13,-,-,-,-,M,-,12
35,E R Murray,1:03:03,15,1:18:03,-,-,-,-,M,-,15
36,Tracy Stover,1:03:55,15,1:18:55,-,-,-,-,M,-,15
37,R Gourlery,1:04:54,15,1:19:54,-,-,-,-,M,-,15
38,F W Jacobs,1:05:18,15,1:20:18,-,-,-,-,M,-,15
39,William Jacobs,1:05:18,15,1:20:18,-,-,-,-,M,-,15
40,W Jaenicks,1:05:32,15,1:20:32,-,-,-,-,M,-,15
41,H Weiss Sr,1:09:15,15,1:24:15,-,-,-,-,M,-,15
42,Isaac Day,1:12:40,15,1:27:40,-,-,-,-,M,-,15
43,T M McCarthy,1:12:54,15,1:27:54,-,-,-,-,M,-,15
44,M McPherson,1:19:00,11,1:30:00,-,-,-,-,M,-,11
